label,task,prime,lr,wd,seed,ordering,tau_circ,tau_gen,tau_F,regime,step,saved_test_acc,base_acc,acc_I1_keep_fourier,acc_I2_remove_fourier,acc_I3_random_ctrl_mean,acc_I3_random_ctrl_std,frac_logit_energy_in_topK_fourier,top_k_harmonics,acc_I4_remove_emb_fourier
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,pre_all,5000,0.008134214207530022,0.00813421453990849,0.0498220640569395,0.004575495678698526,0.012201321809862735,0.0007875919361885949,0.2062878248119015,"12,5,14",0.012201321809862735
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,between_circ_gen,10000,0.11896288394927979,0.11896288764616167,0.5088967971530249,0.018301982714794104,0.130045754956787,0.007425952063654387,0.3051065096094281,"12,5,1",0.02440264361972547
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,between_gen_F,18500,0.9913573861122131,0.9913573970513472,0.9928825622775801,0.2730045754956787,0.988002033553635,0.0018637826924070222,0.6667237671476595,"1,9,12",0.08286731062531774
canonical_GF,add,53,0.0016,1.7145,7,C<G<F,9500.0,11000.0,26000.0,post_all,30000,1.0,1.0,1.0,0.9079816980172852,1.0,0.0,0.6345569154534457,"1,9,12",0.10421962379257753
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,pre_all,4000,0.0289781391620636,0.028978139298423997,0.23995932892730046,0.0020335536349771225,0.03934926283680732,0.001971603399050871,0.337613430100218,"15,22,4",0.009659379766141332
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_circ_gen,9000,0.6232841610908508,0.6232841891204881,0.9150991357397051,0.041179461108286734,0.6139298423995933,0.018783145771132995,0.5844828096510767,"15,4,22",0.03507880020335536
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,between_gen_F,14500,0.9938993453979492,0.9938993390950687,0.9781392984239959,0.8286731062531775,0.9929842399593289,0.0005928776710569926,0.5920493802491991,"15,4,22",0.12963904422979156
coincident,add,53,0.0016,3.1075,2025,C<G<F,8000.0,9500.0,19500.0,post_all,22500,1.0,1.0,1.0,0.9984748347737672,1.0,0.0,0.5391191621576497,"22,15,4",0.03457041179461108
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,pre_all,16000,0.026436196640133858,0.026436197254702594,0.028469750889679714,0.020843924758515507,0.02358922216573462,0.0034118885074860225,0.1555577778979474,"6,7,23",0.01677681748856126
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,between_circ_F,37000,0.10574478656053543,0.10574478901881038,0.04931367564819522,0.08235892221657347,0.10025419420437214,0.0051384967029967565,0.218572398815134,"5,6,15",0.01728520589730554
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,between_F_gen,43000,0.22318251430988312,0.22318251143873918,0.17946110828673106,0.1128622267412303,0.21413319776309098,0.003890417177368373,0.22764455861901087,"5,6,12",0.01626842907981698
FG_slow,add,53,0.0005,2.5,42,C<F<G,31500.0,44500.0,42000.0,post_all,48000,0.5119471549987793,0.5119471276054905,0.7661413319776309,0.12302999491611591,0.5045246568378241,0.01059401425735118,0.28173404787038303,"12,5,23",0.018301982714794104
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,pre_all,3000,0.04067107290029526,0.04067107269954245,0.27656329435688864,0.006100660904931368,0.04860193187595323,0.001594752124184863,0.3565216301363818,"12,10,6",0.012201321809862735
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,between_gen_circ,7000,0.7976614236831665,0.7976614133197764,0.9359430604982206,0.11184544992374174,0.7915607524148449,0.015695951819355534,0.5720788856989575,"10,6,12",0.0630401626842908
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,between_circ_F,10000,0.9984748363494873,0.9984748347737672,0.7559735638027453,0.5922724961870869,0.9889171326893746,0.003657571072415836,0.5387906269132807,"6,3,10",0.3670564311133706
G_CF_boundary,add,53,0.002333,2.5,7,G<C<F,8000.0,6500.0,12000.0,post_all,13500,1.0,1.0,0.9679715302491103,0.9405185561769192,0.9990849008642604,0.0008746644908025045,0.5454883858008894,"6,10,14",0.3462125063548551
strong_CGF,add,53,0.0016,2.7591,7,C<G<F,10000.0,12500.0,18500.0,pre_all,5000,0.010676156729459763,0.010676156583629894,0.07168276563294357,0.003050330452465684,0.013523131672597865,0.002287182893584544,0.20212338424399942,"12,24,5",0.004575495678698526
strong_CGF,add,53,0.0016,2.7591,7,C<G<F,10000.0,12500.0,18500.0,between_circ_gen,11000,0.9034062027931213,0.9034062023385867,0.9303507880020335,0.2841891204880529,0.8899847483477377,0.010530391847381715,0.5142969591861902,"9,5,11",0.02491103202846975
strong_CGF,add,53,0.0016,2.7591,7,C<G<F,10000.0,12500.0,18500.0,between_gen_F,15500,0.9959328770637512,0.9959328927300457,0.9730554143365532,0.8439247585155059,0.9944077275038129,0.00045471641637006964,0.49501642866049245,"9,11,12",0.14590747330960854
strong_CGF,add,53,0.0016,2.7591,7,C<G<F,10000.0,12500.0,18500.0,post_all,20500,1.0,1.0,0.974580579562786,0.9877986781901372,0.9989832231825115,0.00045471641637006964,0.4161308830356123,"9,16,5",0.03863751906456533
