label,task,prime,lr,wd,seed,ordering,tau_circ,tau_gen,tau_F,regime,step,saved_test_acc,base_acc,acc_I1_keep_fourier,acc_I2_remove_fourier,acc_I3_random_ctrl_mean,acc_I3_random_ctrl_std,frac_logit_energy_in_topK_fourier,top_k_harmonics,acc_I4_remove_emb_fourier
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,8000.0,16000.0,36000.0,pre_all,4000,0.018810370936989784,0.018810371123538384,0.1235383833248602,0.0035587188612099642,0.02023385866802237,0.0029539072793765024,0.23940307669972155,"22,15,4",0.01677681748856126
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,8000.0,16000.0,36000.0,between_circ_gen,12000,0.6441280841827393,0.6441281138790036,0.8688357905439756,0.062023385866802234,0.6223690899847483,0.012615410210051007,0.6133483752391297,"22,15,4",0.06456532791052363
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,8000.0,16000.0,36000.0,between_gen_F,26000,0.9893238544464111,0.9893238434163701,0.9730554143365532,0.3675648195221149,0.9849517031011693,0.002048748518516511,0.619051610722334,"5,3,15",0.03711235383833249
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,8000.0,16000.0,36000.0,post_all,43000,1.0,1.0,0.9883070665988816,0.8088459583121504,0.9991865785460092,0.000518456483334292,0.6168617899984327,"3,15,22",0.02389425521098119
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,11000.0,18000.0,32500.0,pre_all,5500,0.00864260271191597,0.00864260294865277,0.08185053380782918,0.006100660904931368,0.012201321809862735,0.001016776817488561,0.19555457600672033,"19,24,9",0.012709710218607015
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,11000.0,18000.0,32500.0,between_circ_gen,14500,0.9557701945304871,0.9557702084392475,0.8759532282663955,0.3802745297407219,0.938586680223691,0.0030739636924923056,0.5064918416202983,"7,24,9",0.13065582104728013
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,11000.0,18000.0,32500.0,between_gen_F,25000,0.982206404209137,0.9822064056939501,0.958312150482969,0.9211997966446365,0.9797661413319776,0.0008134214539908508,0.5489560311262819,"7,9,24",0.0711743772241993
canonical_GF_s42,add,53,0.0016,1.7145,42,C<G<F,11000.0,18000.0,32500.0,post_all,38000,0.9954245090484619,0.9954245043213015,0.9715302491103203,0.9816980172852059,0.9931875953228267,0.0010468358048792241,0.4960545105061604,"21,9,24",0.05185561769191662
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,pre_known_events,11000,0.09150991588830948,0.09150991357397051,0.3177427554651754,0.01677681748856126,0.09832231825114388,0.004775604907297359,0.27689590434292133,"19,3,14",0.02541942043721403
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,between_gen_F_partial,25000,0.8998475074768066,0.8998474834773768,0.43924758515505846,0.4107778342653787,0.8605998983223182,0.009158896207331839,0.49370061358904854,"24,7,19",0.019318759532282664
lr_low_GF,add,53,0.0009259,2.5,42,G<F,,21500.0,29000.0,post_known_events,31000,1.0,1.0,0.9064565327910523,0.9354346720894764,0.9995932892730046,0.00020335536349769257,0.5216727524809234,"19,24,7",0.022369089984748347
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,pre_known_events,4000,0.06354855000972748,0.06354855109303507,0.031011692933401117,0.062023385866802234,0.06283680732079308,0.002974832503981251,0.15505454545704775,"5,11,18",0.05083884087442806
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,between_gen_F_partial,11000,0.9755973815917969,0.9755973563802746,0.12201321809862735,0.9501779359430605,0.9478393492628368,0.007800739310144003,0.13562927462577595,"9,26,1",0.07727503812913065
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,post_known_events,15500,0.9944077134132385,0.9944077275038129,0.0813421453990849,0.9893238434163701,0.9865785460091508,0.00530870461909777,0.1290779671879898,"1,26,21",0.14641586171835283
p97_GF,add,97,0.0016,2.4497,42,G<F,,2500.0,30500.0,pre_known_events,1000,0.0034917262382805347,0.003491726127220282,0.023986640352208898,0.0022772126916654014,0.004250797024442083,0.0003184481093578721,0.13519618414116272,"45,23,9",0.006983452254440564
p97_GF,add,97,0.0016,2.4497,42,G<F,,2500.0,30500.0,between_gen_F_partial,16500,1.0,1.0,0.9992409291027782,0.996204645513891,1.0,0.0,0.5495764180682206,"2,23,18",0.09230302110217094
p97_GF,add,97,0.0016,2.4497,42,G<F,,2500.0,30500.0,post_known_events,37500,1.0,1.0,0.9966600880522241,1.0,1.0,0.0,0.5418633230434153,"23,2,18",0.010323364202216486
