label,task,prime,lr,wd,seed,ordering,tau_circ,tau_gen,tau_F,regime,step,saved_test_acc,K,base_acc,acc_I1_keep_fourier,acc_I2_remove_fourier,acc_I3_random_ctrl_mean,acc_I3_random_ctrl_std,frac_logit_energy_in_topK_fourier,top_k_harmonics,acc_I4_remove_emb_fourier,i2_drop,i3_random_drop_mean,i4_drop,specificity_ratio_i2_over_i3
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,8000.0,16000.0,36000.0,pre_all,4000,0.018810370936989784,1,0.018810371123538384,0.059989832231825115,0.010676156583629894,0.019217081850533807,0.0018858400600906358,0.09098448459807121,22,0.01728520589730554,0.00813421453990849,-0.0004067107269954233,0.0015251652262328434,-20.00000000000006
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,8000.0,16000.0,36000.0,pre_all,4000,0.018810370936989784,3,0.018810371123538384,0.1235383833248602,0.0035587188612099642,0.02094560244026436,0.0017434090695965675,0.23940307669972155,"22,15,4",0.01677681748856126,0.01525165226232842,-0.0021352313167259766,0.0020335536349771234,-7.14285714285715
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,8000.0,16000.0,36000.0,pre_all,4000,0.018810370936989784,5,0.018810371123538384,0.09303507880020336,0.004575495678698526,0.024911032028469747,0.001731508527292974,0.34868793330301784,"22,15,4,5,8",0.018301982714794104,0.014234875444839857,-0.006100660904931363,0.00050838840874428,-2.333333333333335
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,8000.0,16000.0,36000.0,pre_all,4000,0.018810370936989784,10,0.018810371123538384,0.0681240467717336,0.002541942043721403,0.03772241992882563,0.003823405323225861,0.5464069032481238,"22,15,4,5,8,1,2,13,26,14",0.019318759532282664,0.01626842907981698,-0.018912048805287244,-0.00050838840874428,-0.8602150537634407
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,8000.0,16000.0,36000.0,between_circ_gen,12000,0.6441280841827393,1,0.6441281138790036,0.1103202846975089,0.3990849008642603,0.6101677681748856,0.0035427049090359804,0.23246682001173546,22,0.32079308591764105,0.2450432130147433,0.03396034570411799,0.32333502796136254,7.2155688622754415
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,8000.0,16000.0,36000.0,between_circ_gen,12000,0.6441280841827393,3,0.6441281138790036,0.8688357905439756,0.062023385866802234,0.6111845449923742,0.012672645497411879,0.6133483752391297,"22,15,4",0.06456532791052363,0.5821047280122014,0.032943568886629415,0.57956278596848,17.66975308641974
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,8000.0,16000.0,36000.0,between_circ_gen,12000,0.6441280841827393,5,0.6441281138790036,0.9044229791560753,0.0071174377224199285,0.68978139298424,0.004160096094657605,0.8515967845425548,"22,15,4,3,5",0.018301982714794104,0.6370106761565837,-0.04565327910523642,0.6258261311642095,-13.953229398663693
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,8000.0,16000.0,36000.0,between_circ_gen,12000,0.6441280841827393,10,0.6441281138790036,0.7788510421962379,0.00864260294865277,0.7169293340111846,0.007199756366893954,0.9193396785643463,"22,15,4,3,5,24,17,13,2,14",0.017793594306049824,0.6354855109303508,-0.07280122013218104,0.6263345195729537,-8.729050279329602
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,8000.0,16000.0,36000.0,between_gen_F,26000,0.9893238544464111,1,0.9893238434163701,0.17132689374682258,0.9089984748347738,0.9819013726487036,0.004643899236062709,0.2426765685540787,5,0.06456532791052363,0.08032536858159633,0.007422470767666556,0.9247585155058465,10.821917808219093
canonical_GF_s2025,add,53,0.0016,1.7145,2025,C<G<F,8000.0,16000.0,36000.0,between_gen_F,26000,0.9893238544464111,3,0.9893238434163701,0.9730554143365532,0.3675648195221149,0.9839349262836808,0.0027016431633119413,0.619051610722334,"5,3,15",0.03711235383833249,0.6217590238942552,0.005388917132689297,0.9522114895780377,115.3773584905677
