cfg_tag,decoder_wd,embed_wd,shutoff_step,seed,observed_phase,tau_gen,tau_F,delta,ordering,max_train_acc,max_test_acc,runtime_sec
dec0_emb0,0.0,0.0,,42,Memorization,,,,none,1.0000,0.0219,431.8
dec0_emb0,0.0,0.0,,7,Memorization,,,,none,1.0000,0.0219,465.3
dec0_emb0,0.0,0.0,,2025,Memorization,,,,none,1.0000,0.0208,460.7
dec0_emb2.5,0.0,2.5,,42,Memorization,,28500.0,,F_only,1.0000,0.0595,462.4
dec0_emb2.5,0.0,2.5,,7,Memorization,,15500.0,,F_only,1.0000,0.0737,464.3
dec0_emb2.5,0.0,2.5,,2025,Memorization,,8000.0,,F_only,1.0000,0.0925,463.4
dec2.5_emb0,2.5,0.0,,42,Grokking,13500.0,23500.0,10000.0,G<F,1.0000,1.0000,462.0
dec2.5_emb0,2.5,0.0,,7,Grokking,10000.0,15000.0,5000.0,G<F,1.0000,1.0000,463.0
dec2.5_emb0,2.5,0.0,,2025,Grokking,13000.0,17500.0,4500.0,G<F,1.0000,1.0000,462.7
dec2.5_emb2.5,2.5,2.5,,42,Memorization,,26000.0,,F_only,1.0000,0.0188,462.8
dec2.5_emb2.5,2.5,2.5,,7,Grokking,19500.0,8000.0,-11500.0,F<G,1.0000,1.0000,462.0
dec2.5_emb2.5,2.5,2.5,,2025,Grokking,16000.0,10000.0,-6000.0,F<G,1.0000,1.0000,462.8
shutoff8500,2.5,0.0,8500,42,Memorization,,21500.0,,F_only,1.0000,0.7306,458.2
shutoff8500,2.5,0.0,8500,7,Memorization,,23000.0,,F_only,1.0000,0.7087,457.4
shutoff8500,2.5,0.0,8500,2025,Memorization,,24000.0,,F_only,1.0000,0.4713,455.9
shutoff17000,2.5,0.0,17000,42,Grokking,13500.0,17500.0,4000.0,G<F,1.0000,1.0000,459.9
shutoff17000,2.5,0.0,17000,7,Grokking,10000.0,16000.0,6000.0,G<F,1.0000,1.0000,458.8
shutoff17000,2.5,0.0,17000,2025,Grokking,13000.0,17000.0,4000.0,G<F,1.0000,1.0000,460.1
shutoff34000,2.5,0.0,34000,42,Grokking,13500.0,16000.0,2500.0,G<F,1.0000,1.0000,461.1
shutoff34000,2.5,0.0,34000,7,Grokking,10000.0,29000.0,19000.0,G<F,1.0000,1.0000,461.0
shutoff34000,2.5,0.0,34000,2025,Grokking,13000.0,29500.0,16500.0,G<F,1.0000,1.0000,461.9
