train_fraction,seed,lr,wd_decoder,wd_embed,observed_phase,tau_gen,tau_F,delta,ordering,max_train_acc,max_test_acc,runtime_sec
0.2,42,0.0016,2.5,0.0,Memorization,,,,none,1.0000,0.0173,381.3
0.2,7,0.0016,2.5,0.0,Memorization,,22000.0,,F_only,1.0000,0.0209,381.1
0.2,2025,0.0016,2.5,0.0,Memorization,,21500.0,,F_only,1.0000,0.0196,376.9
0.3,7,0.0016,2.5,0.0,Grokking,10000.0,15000.0,5000.0,G<F,1.0000,1.0000,462.5
0.3,2025,0.0016,2.5,0.0,Grokking,13000.0,17500.0,4500.0,G<F,1.0000,1.0000,429.2
0.4,42,0.0016,2.5,0.0,Comprehension,2000.0,20000.0,18000.0,G<F,1.0000,1.0000,517.1
0.4,7,0.0016,2.5,0.0,Grokking,2500.0,13500.0,11000.0,G<F,1.0000,1.0000,518.2
0.4,2025,0.0016,2.5,0.0,Comprehension,2000.0,22000.0,20000.0,G<F,1.0000,1.0000,520.4
0.5,42,0.0016,2.5,0.0,Comprehension,1500.0,12000.0,10500.0,G<F,1.0000,1.0000,630.1
0.5,7,0.0016,2.5,0.0,Comprehension,1500.0,21000.0,19500.0,G<F,1.0000,1.0000,627.0
0.5,2025,0.0016,2.5,0.0,Grokking,2500.0,12000.0,9500.0,G<F,1.0000,1.0000,625.9
0.3,42,0.0016,2.5,0.0,Grokking,13500.0,23500.0,10000.0,G<F,1.0000,1.0000,454.3
