label,m,tau_F_topm,f_raw_max,f_corr_max,f_null_max
lr6.8e4_s7,1,42000.0,0.40872907206086,0.3420621752595779,0.08106025874571571
lr6.8e4_s7,2,42000.0,0.5646420851723815,0.4377915538293333,0.13732262384128532
lr6.8e4_s7,3,42000.0,0.6706153471022436,0.49168611820013824,0.19694150345830674
lr6.8e4_s7,5,42000.0,0.7873539620304559,0.5086134249731138,0.29512628953698944
wd1.52_s42,1,23000.0,0.2667571433520971,0.19813219513490238,0.07307981731108738
wd1.52_s42,2,28000.0,0.4815754685594352,0.3528380484230901,0.1384227173281925
wd1.52_s42,3,29000.0,0.6216534922788632,0.4376490927264473,0.18894437916068785
wd1.52_s42,5,29500.0,0.774917606973643,0.4860531346858617,0.2911183837364993
wd1.71_s7,1,25500.0,0.32216257401780096,0.23988198849805298,0.08228058551974798
wd1.71_s7,2,25500.0,0.5839783123127062,0.45298993528335335,0.14275800865307764
wd1.71_s7,3,27500.0,0.7249773230772826,0.5253109511838049,0.19966637189347766
wd1.71_s7,5,28500.0,0.8535063475512135,0.5508484477993061,0.3026578997519074
wd2.18_s42,1,26500.0,0.30941644419739295,0.24238868155532572,0.0745900405660956
wd2.18_s42,2,27500.0,0.5551164934481987,0.42834673002021406,0.13615792418157155
wd2.18_s42,3,28500.0,0.6936891399573575,0.5041773665280866,0.1954792202887451
wd2.18_s42,5,29500.0,0.8074635238735279,0.5200172068844833,0.3019251197297241
wd2.45_s7,1,18500.0,0.2967695650024508,0.2188671818571265,0.07790238314532429
wd2.45_s7,2,17000.0,0.4879396657978007,0.35176237841757463,0.13617728738022605
wd2.45_s7,3,16000.0,0.6663625634964354,0.4886391588415137,0.19312477442494802
wd2.45_s7,5,18500.0,0.826949772076774,0.5424955698466809,0.2901034761097829
wd2.76_s42,1,29500.0,0.49226555146230233,0.39616872815279935,0.096096823309503
wd2.76_s42,2,30000.0,0.6146156954320947,0.4551173637193823,0.1671044105281128
wd2.76_s42,3,30000.0,0.7217916802757135,0.5087095795603169,0.22000579587075567
wd2.76_s42,5,30000.0,0.8630867029599558,0.5458010616969229,0.33000601545543967
wd3.11_s2025,1,14000.0,0.3562917083713493,0.28595285785403807,0.08335940881265094
wd3.11_s2025,2,15000.0,0.6429290508845666,0.5144377687738453,0.15324214163169425
wd3.11_s2025,3,16000.0,0.7245899394737347,0.5414836195623258,0.20667769253782756
wd3.11_s2025,5,17500.0,0.8571650479624275,0.5629899909518779,0.3076153997299457
wd3.50_s7,1,23000.0,0.2906255577107149,0.22836578787234696,0.07717223826376776
wd3.50_s7,2,23000.0,0.4882899885564971,0.3712363777979023,0.1365920907354645
wd3.50_s7,3,23500.0,0.6490997033830312,0.4791042164812502,0.18851813230542658
wd3.50_s7,5,24000.0,0.8156181831253779,0.5327603159396184,0.297905267579536
