cell_label,category,tau_gen,percentile,n_perms,tau_F,delta_tau_F_vs_canonical
wd1.71_s7,strong_GF,17000.0,90,50,25500,-500
wd1.71_s7,strong_GF,17000.0,90,100,25500,-500
wd1.71_s7,strong_GF,17000.0,90,200,25500,-500
wd1.71_s7,strong_GF,17000.0,95,50,26000,0
wd1.71_s7,strong_GF,17000.0,95,100,26000,0
wd1.71_s7,strong_GF,17000.0,95,200,26000,0
wd1.71_s7,strong_GF,17000.0,99,50,26000,0
wd1.71_s7,strong_GF,17000.0,99,100,26000,0
wd1.71_s7,strong_GF,17000.0,99,200,26000,0
wd2.76_s42,strong_GF,11500.0,90,50,30000,0
wd2.76_s42,strong_GF,11500.0,90,100,30000,0
wd2.76_s42,strong_GF,11500.0,90,200,30000,0
wd2.76_s42,strong_GF,11500.0,95,50,30000,0
wd2.76_s42,strong_GF,11500.0,95,100,30000,0
wd2.76_s42,strong_GF,11500.0,95,200,30000,0
wd2.76_s42,strong_GF,11500.0,99,50,30000,0
wd2.76_s42,strong_GF,11500.0,99,100,30000,0
wd2.76_s42,strong_GF,11500.0,99,200,30000,0
wd1.52_s42,medium_GF,14000.0,90,50,23000,0
wd1.52_s42,medium_GF,14000.0,90,100,23000,0
wd1.52_s42,medium_GF,14000.0,90,200,23000,0
wd1.52_s42,medium_GF,14000.0,95,50,23500,500
wd1.52_s42,medium_GF,14000.0,95,100,23000,0
wd1.52_s42,medium_GF,14000.0,95,200,23000,0
wd1.52_s42,medium_GF,14000.0,99,50,23500,500
wd1.52_s42,medium_GF,14000.0,99,100,23500,500
wd1.52_s42,medium_GF,14000.0,99,200,23500,500
wd2.18_s42,medium_GF,15000.0,90,50,26500,-500
wd2.18_s42,medium_GF,15000.0,90,100,26500,-500
wd2.18_s42,medium_GF,15000.0,90,200,26500,-500
wd2.18_s42,medium_GF,15000.0,95,50,27000,0
wd2.18_s42,medium_GF,15000.0,95,100,27000,0
wd2.18_s42,medium_GF,15000.0,95,200,26500,-500
wd2.18_s42,medium_GF,15000.0,99,50,27000,0
wd2.18_s42,medium_GF,15000.0,99,100,27000,0
wd2.18_s42,medium_GF,15000.0,99,200,27000,0
wd2.45_s7,weak_GF,12000.0,90,50,18500,0
wd2.45_s7,weak_GF,12000.0,90,100,18500,0
wd2.45_s7,weak_GF,12000.0,90,200,18500,0
wd2.45_s7,weak_GF,12000.0,95,50,18500,0
wd2.45_s7,weak_GF,12000.0,95,100,18500,0
wd2.45_s7,weak_GF,12000.0,95,200,18500,0
wd2.45_s7,weak_GF,12000.0,99,50,18500,0
wd2.45_s7,weak_GF,12000.0,99,100,18500,0
wd2.45_s7,weak_GF,12000.0,99,200,18500,0
wd3.50_s7,weak_GF,19000.0,90,50,23000,0
wd3.50_s7,weak_GF,19000.0,90,100,23000,0
wd3.50_s7,weak_GF,19000.0,90,200,23000,0
wd3.50_s7,weak_GF,19000.0,95,50,23000,0
wd3.50_s7,weak_GF,19000.0,95,100,23000,0
wd3.50_s7,weak_GF,19000.0,95,200,23000,0
wd3.50_s7,weak_GF,19000.0,99,50,23000,0
wd3.50_s7,weak_GF,19000.0,99,100,23000,0
wd3.50_s7,weak_GF,19000.0,99,200,23000,0
wd3.11_s2025,coincident,11000.0,90,50,14000,0
wd3.11_s2025,coincident,11000.0,90,100,14000,0
wd3.11_s2025,coincident,11000.0,90,200,14000,0
wd3.11_s2025,coincident,11000.0,95,50,14000,0
wd3.11_s2025,coincident,11000.0,95,100,14000,0
wd3.11_s2025,coincident,11000.0,95,200,14000,0
wd3.11_s2025,coincident,11000.0,99,50,14000,0
wd3.11_s2025,coincident,11000.0,99,100,14000,0
wd3.11_s2025,coincident,11000.0,99,200,14000,0
lr6.8e4_s7,FG,43500.0,90,50,42000,0
lr6.8e4_s7,FG,43500.0,90,100,42000,0
lr6.8e4_s7,FG,43500.0,90,200,42000,0
lr6.8e4_s7,FG,43500.0,95,50,42000,0
lr6.8e4_s7,FG,43500.0,95,100,42000,0
lr6.8e4_s7,FG,43500.0,95,200,42000,0
lr6.8e4_s7,FG,43500.0,99,50,42000,0
lr6.8e4_s7,FG,43500.0,99,100,42000,0
lr6.8e4_s7,FG,43500.0,99,200,42000,0
