cell_label,category,tau_gen,K,tau_F_K,ordering_K
wd1.71_s7,strong_GF,17000.0,1,26000,G<F
wd1.71_s7,strong_GF,17000.0,2,25500,G<F
wd1.71_s7,strong_GF,17000.0,3,27500,G<F
wd1.71_s7,strong_GF,17000.0,5,28500,G<F
wd2.76_s42,strong_GF,11500.0,1,30000,G<F
wd2.76_s42,strong_GF,11500.0,2,30000,G<F
wd2.76_s42,strong_GF,11500.0,3,30000,G<F
wd2.76_s42,strong_GF,11500.0,5,30500,G<F
wd1.52_s42,medium_GF,14000.0,1,23000,G<F
wd1.52_s42,medium_GF,14000.0,2,28000,G<F
wd1.52_s42,medium_GF,14000.0,3,29000,G<F
wd1.52_s42,medium_GF,14000.0,5,29500,G<F
wd2.18_s42,medium_GF,15000.0,1,26500,G<F
wd2.18_s42,medium_GF,15000.0,2,27500,G<F
wd2.18_s42,medium_GF,15000.0,3,28500,G<F
wd2.18_s42,medium_GF,15000.0,5,29500,G<F
wd2.45_s7,weak_GF,12000.0,1,18500,G<F
wd2.45_s7,weak_GF,12000.0,2,17000,G<F
wd2.45_s7,weak_GF,12000.0,3,16500,G<F
wd2.45_s7,weak_GF,12000.0,5,18500,G<F
wd3.50_s7,weak_GF,19000.0,1,23000,G<F
wd3.50_s7,weak_GF,19000.0,2,23000,G<F
wd3.50_s7,weak_GF,19000.0,3,23500,G<F
wd3.50_s7,weak_GF,19000.0,5,24500,G<F
wd3.11_s2025,coincident,11000.0,1,14000,G<F
wd3.11_s2025,coincident,11000.0,2,15500,G<F
wd3.11_s2025,coincident,11000.0,3,16500,G<F
wd3.11_s2025,coincident,11000.0,5,17500,G<F
lr6.8e4_s7,FG,43500.0,1,42000,F<G
lr6.8e4_s7,FG,43500.0,2,42000,F<G
lr6.8e4_s7,FG,43500.0,3,42000,F<G
lr6.8e4_s7,FG,43500.0,5,42000,F<G
