cell_label,category,tau_gen,tau_F,metric,tau_geom,delta_geom_vs_F,delta_geom_vs_gen
wd1.71_s7,strong_GF,17000.0,25500.0,frob_norm,10500.0,-15000,-6500
wd1.71_s7,strong_GF,17000.0,25500.0,participation_ratio,14000.0,-11500,-3000
wd1.71_s7,strong_GF,17000.0,25500.0,eff_rank,15000.0,-10500,-2000
wd1.71_s7,strong_GF,17000.0,25500.0,anisotropy,22000.0,-3500,5000
wd2.76_s42,strong_GF,11500.0,30000.0,frob_norm,8000.0,-22000,-3500
wd2.76_s42,strong_GF,11500.0,30000.0,participation_ratio,9000.0,-21000,-2500
wd2.76_s42,strong_GF,11500.0,30000.0,eff_rank,9500.0,-20500,-2000
wd2.76_s42,strong_GF,11500.0,30000.0,anisotropy,15500.0,-14500,4000
wd1.52_s42,medium_GF,14000.0,23500.0,frob_norm,11000.0,-12500,-3000
wd1.52_s42,medium_GF,14000.0,23500.0,participation_ratio,13000.0,-10500,-1000
wd1.52_s42,medium_GF,14000.0,23500.0,eff_rank,14500.0,-9000,500
wd1.52_s42,medium_GF,14000.0,23500.0,anisotropy,17000.0,-6500,3000
wd2.18_s42,medium_GF,15000.0,26500.0,frob_norm,9000.0,-17500,-6000
wd2.18_s42,medium_GF,15000.0,26500.0,participation_ratio,10000.0,-16500,-5000
wd2.18_s42,medium_GF,15000.0,26500.0,eff_rank,11000.0,-15500,-4000
wd2.18_s42,medium_GF,15000.0,26500.0,anisotropy,15500.0,-11000,500
wd2.45_s7,weak_GF,12000.0,18500.0,frob_norm,8000.0,-10500,-4000
wd2.45_s7,weak_GF,12000.0,18500.0,participation_ratio,9500.0,-9000,-2500
wd2.45_s7,weak_GF,12000.0,18500.0,eff_rank,10500.0,-8000,-1500
wd2.45_s7,weak_GF,12000.0,18500.0,anisotropy,14000.0,-4500,2000
wd3.50_s7,weak_GF,19000.0,23000.0,frob_norm,8000.0,-15000,-11000
wd3.50_s7,weak_GF,19000.0,23000.0,participation_ratio,8000.0,-15000,-11000
wd3.50_s7,weak_GF,19000.0,23000.0,eff_rank,8000.0,-15000,-11000
wd3.50_s7,weak_GF,19000.0,23000.0,anisotropy,8000.0,-15000,-11000
wd3.11_s2025,coincident,11000.0,14000.0,frob_norm,8000.0,-6000,-3000
wd3.11_s2025,coincident,11000.0,14000.0,participation_ratio,8000.0,-6000,-3000
wd3.11_s2025,coincident,11000.0,14000.0,eff_rank,8500.0,-5500,-2500
wd3.11_s2025,coincident,11000.0,14000.0,anisotropy,12500.0,-1500,1500
lr6.8e4_s7,FG,43500.0,42000.0,frob_norm,8000.0,-34000,-35500
lr6.8e4_s7,FG,43500.0,42000.0,participation_ratio,9500.0,-32500,-34000
lr6.8e4_s7,FG,43500.0,42000.0,eff_rank,10500.0,-31500,-33000
lr6.8e4_s7,FG,43500.0,42000.0,anisotropy,12500.0,-29500,-31000
