source,label,canonical_tauF,bp1_M1,bp1_M2,bp2_M2,bic_M0,bic_M1,bic_M2,preferred,delta_bp1
posthoc,wd1.71_s7,23500,23500,21000,36500,-556.12,-943.62,-1106.52,M2,-2500
posthoc,wd2.76_s42,29000,29000,26500,32500,-409.45,-759.52,-962.57,M2,-2500
posthoc,wd1.52_s42,21500,21500,20500,42000,-625.73,-1068.29,-1243.17,M2,-1000
posthoc,wd2.18_s42,24000,24000,25500,37000,-534.86,-828.56,-1057.80,M2,1500
posthoc,wd2.45_s7,16000,16000,16500,35000,-558.38,-910.50,-1078.39,M2,500
posthoc,wd3.50_s7,21500,21500,17500,26000,-561.43,-813.80,-1070.02,M2,-4000
posthoc,wd3.11_s2025,11500,11500,12500,26500,-536.86,-809.36,-1060.02,M2,1000
posthoc,lr6.8e4_s7,42000,42000,40500,42000,-617.02,-930.30,-921.07,M1,-1500
e3_nanda,lr1.26e-03_wd2.5_s2025,23500,23500,25500,33500,-377.16,-690.43,-922.56,M2,2000
e3_nanda,lr1.26e-03_wd2.5_s42,33000,33000,30500,38000,-473.10,-826.53,-975.33,M2,-2500
e3_nanda,lr1.26e-03_wd2.5_s7,20500,20500,18500,34500,-523.87,-942.74,-1063.49,M2,-2000
e3_nanda,lr1.60e-03_wd1.2_s2025,34000,34000,30500,36000,-744.47,-1297.90,-1423.05,M2,-3500
e3_nanda,lr1.60e-03_wd1.2_s42,39000,39000,37500,42000,-849.65,-1413.86,-1714.80,M2,-1500
e3_nanda,lr1.60e-03_wd1.2_s7,28000,28000,28000,39500,-693.43,-1281.21,-1357.05,M2,0
e3_nanda,lr1.60e-03_wd1.3516_s2025,25000,25000,26000,41000,-652.93,-1172.90,-1272.57,M2,1000
e3_nanda,lr1.60e-03_wd1.3516_s42,38000,38000,20500,38500,-717.01,-1202.36,-1273.20,M2,-17500
e3_nanda,lr1.60e-03_wd1.3516_s7,28500,28500,28000,42000,-631.10,-1223.06,-1311.00,M2,-500
e3_nanda,lr1.60e-03_wd1.5223_s2025,21500,21500,18000,41500,-589.55,-874.60,-1068.32,M2,-3500
