lr,wd,seed,tau_gen,tau_F,delta,y,p_full,p_geom,p_speed
0.0005,1.2,42,63000,67000,4000,1,0.6640,0.7494,0.6322
0.0005,1.4344,42,53000,60000,7000,1,0.7395,0.7909,0.6874
0.0005,1.4344,7,68500,67000,-1500,0,0.7114,0.8300,0.6442
0.0005,1.7145,42,50000,67000,17000,1,0.7713,0.8253,0.7047
0.0005,1.7145,7,68500,67000,-1500,0,0.7224,0.8540,0.6442
0.0005,2.4497,42,48500,42000,-6500,0,0.8355,0.9009,0.7349
0.0005,1.7145,2025,52500,65000,12500,1,0.7580,0.8253,0.6903
0.0005,2.0494,42,63500,66000,2500,1,0.7160,0.8542,0.6296
0.0005,2.0494,7,75000,67000,-8000,0,0.7131,0.8779,0.6183
0.0005,2.4497,2025,38000,42000,4000,1,0.8552,0.8786,0.7769
0.0005,2.9281,42,39000,42000,3000,1,0.8589,0.8992,0.7708
0.0005,2.9281,2025,34000,40500,6500,1,0.8820,0.8992,0.8020
0.0005,3.5,42,33500,37500,4000,1,0.8912,0.9167,0.8051
0.0005,2.4497,7,49500,53000,3500,1,0.7987,0.8786,0.7076
0.0005,2.9281,7,72000,65000,-7000,0,0.7712,0.9223,0.6300
0.0005,3.5,2025,33500,37000,3500,1,0.8912,0.9167,0.8051
0.000716,1.2,42,52500,67000,14500,1,0.6819,0.7633,0.6903
0.000716,1.2,2025,52500,67000,14500,1,0.6819,0.7633,0.6903
0.000716,1.7145,42,40500,42000,1500,1,0.7908,0.8351,0.7615
0.000716,1.7145,7,49000,40000,-9000,0,0.7637,0.8520,0.7325
0.000716,1.4344,7,62500,64000,1500,1,0.6425,0.8025,0.6349
0.000716,2.0494,42,40500,41500,1000,1,0.8030,0.8624,0.7615
0.000716,1.4344,2025,58000,67000,9000,1,0.6688,0.8025,0.6594
0.000716,2.0494,7,38000,42000,4000,1,0.8176,0.8624,0.7769
0.000716,2.0494,2025,38000,42000,4000,1,0.8176,0.8624,0.7769
0.000716,2.4497,42,34000,41500,7500,1,0.8502,0.8854,0.8020
0.000716,2.4497,7,36500,41000,4500,1,0.8363,0.8854,0.7863
0.000716,2.4497,2025,29500,39500,10000,1,0.8749,0.8854,0.8305
0.000716,2.9281,42,29000,36000,7000,1,0.8850,0.9049,0.8337
0.000716,2.9281,7,37000,38000,1000,1,0.8428,0.9049,0.7832
0.000716,2.9281,2025,24000,34500,10500,1,0.9104,0.9049,0.8659
0.000716,3.5,42,26000,32000,6000,1,0.9065,0.9214,0.8530
0.000716,3.5,7,29000,32000,3000,1,0.8919,0.9214,0.8337
0.000716,3.5,2025,27000,32500,5500,1,0.9017,0.9214,0.8466
0.001024,1.2,42,36000,42000,6000,1,0.7555,0.7750,0.7894
0.001024,1.2,7,33500,37500,4000,1,0.7747,0.7750,0.8051
0.001024,1.4344,42,24000,37500,13500,1,0.8597,0.8124,0.8659
0.001024,1.2,2025,33500,42000,8500,1,0.7747,0.7750,0.8051
0.001024,1.4344,7,36000,37500,1500,1,0.7718,0.8124,0.7894
0.001024,1.4344,2025,33500,40500,7000,1,0.7900,0.8124,0.8051
0.001024,1.7145,42,24500,38500,14000,1,0.8657,0.8435,0.8626
0.001024,1.7145,7,42500,37000,-5500,0,0.7592,0.8541,0.7658
0.001024,1.7145,2025,25000,35000,10000,1,0.8623,0.8435,0.8594
0.001024,2.0494,42,16500,31000,14500,1,0.9251,0.8695,0.9139
0.001024,2.0494,7,27000,30000,3000,1,0.8579,0.8695,0.8466
0.001024,2.0494,2025,23000,34500,11500,1,0.8841,0.8695,0.8723
0.001024,2.4497,42,21000,36500,15500,1,0.9036,0.8914,0.8852
0.001024,2.4497,7,26000,27500,1500,1,0.8728,0.8914,0.8530
0.001024,2.4497,2025,25000,38000,13000,1,0.8790,0.8914,0.8594
0.001024,2.9281,42,19500,29000,9500,1,0.9182,0.9099,0.8948
0.001024,2.9281,7,27500,34000,6500,1,0.8714,0.9099,0.8434
0.001024,2.9281,2025,14500,21000,6500,1,0.9453,0.9099,0.9265
0.001024,3.5,42,19000,29000,10000,1,0.9261,0.9257,0.8980
0.001024,3.5,7,23500,27000,3500,1,0.9016,0.9257,0.8691
0.001024,3.5,2025,13500,23500,10000,1,0.9539,0.9257,0.9327
0.001466,1.2,42,19000,34000,15000,1,0.8654,0.7849,0.8980
0.001466,1.2,7,23500,27000,3500,1,0.8249,0.7849,0.8691
0.001466,1.2,2025,46000,42000,-4000,0,0.6814,0.8164,0.7476
0.001466,1.4344,42,19500,25500,6000,1,0.8709,0.8210,0.8948
0.001466,1.4344,7,23000,28000,5000,1,0.8414,0.8210,0.8723
0.001466,1.4344,2025,15000,21000,6000,1,0.9081,0.8210,0.9234
0.001466,1.7145,42,17500,33000,15500,1,0.8953,0.8508,0.9076
0.001466,1.7145,7,13500,25000,11500,1,0.9258,0.8508,0.9327
0.001466,1.7145,2025,12000,22000,10000,1,0.9367,0.8508,0.9419
0.001466,2.0494,42,16500,32000,15500,1,0.9096,0.8758,0.9139
0.001466,2.0494,7,19000,25000,6000,1,0.8912,0.8758,0.8980
0.001466,2.0494,2025,19000,25000,6000,1,0.8912,0.8758,0.8980
0.001466,2.4497,42,15500,30000,14500,1,0.9223,0.8968,0.9202
0.001466,2.4497,7,12500,16500,4000,1,0.9420,0.8968,0.9389
0.001466,2.4497,2025,16000,19000,3000,1,0.9189,0.8968,0.9171
0.001466,2.9281,42,11500,16500,5000,1,0.9518,0.9145,0.9450
0.001466,2.9281,7,16500,27500,11000,1,0.9209,0.9145,0.9139
0.001466,2.9281,2025,9500,16500,7000,1,0.9632,0.9145,0.9569
