operation,prime,lr,wd,seed,observed_phase,tau_gen,tau_F,tau_circuit,delta_gf,ordering_gf,ordering_3stage,max_train_acc,max_test_acc,max_steps_used,runtime_sec
add,53,0.0005,2.5,42,Grokking,52000.0,54500.0,28000.0,2500.0,G<F,C<G<F,1.0,1.0,100000,1446.5369892120361
add,53,0.0005,2.5,7,Grokking,54500.0,57500.0,51000.0,3000.0,G<F,C<G<F,1.0,1.0,100000,1389.204514503479
add,53,0.0005,2.5,2025,Grokking,39500.0,48500.0,35500.0,9000.0,G<F,C<G<F,1.0,1.0,100000,1587.9002170562744
add,53,0.00055,2.5,42,Grokking,37000.0,49000.0,37000.0,12000.0,G<F,C<G<F,1.0,1.0,100000,1320.075755596161
add,53,0.00055,2.5,7,Grokking,49500.0,53500.0,40500.0,4000.0,G<F,C<G<F,1.0,1.0,100000,1450.3683292865753
add,53,0.00055,2.5,2025,Grokking,38000.0,50000.0,36500.0,12000.0,G<F,C<G<F,1.0,1.0,100000,1278.1999385356903
add,53,0.0006,2.5,42,Grokking,35000.0,50500.0,35000.0,15500.0,G<F,C<G<F,1.0,1.0,100000,1115.9228711128235
add,53,0.0006,2.5,7,Grokking,48000.0,50500.0,43500.0,2500.0,G<F,C<G<F,1.0,1.0,100000,1108.9261765480042
add,53,0.0006,2.5,2025,Grokking,32500.0,48000.0,31000.0,15500.0,G<F,C<G<F,1.0,1.0,100000,1188.796082496643
add,53,0.00065,2.5,42,Grokking,36500.0,49000.0,27500.0,12500.0,G<F,C<G<F,1.0,1.0,100000,1287.1020390987396
add,53,0.00065,2.5,7,Grokking,42000.0,46500.0,41000.0,4500.0,G<F,C<G<F,1.0,1.0,100000,1597.4932143688202
add,53,0.00065,2.5,2025,Grokking,29500.0,49000.0,24500.0,19500.0,G<F,C<G<F,1.0,1.0,100000,1383.332520723343
add,53,0.00068,2.5,42,Grokking,31000.0,43500.0,24000.0,12500.0,G<F,C<G<F,1.0,1.0,100000,1369.6236634254456
add,53,0.00068,2.5,7,Grokking,38500.0,47500.0,38500.0,9000.0,G<F,C<G<F,1.0,1.0,100000,1289.059308052063
add,53,0.00068,2.5,2025,Grokking,32500.0,44500.0,16500.0,12000.0,G<F,C<G<F,1.0,1.0,100000,1269.029699087143
add,53,0.00072,2.5,42,Grokking,34000.0,44000.0,34500.0,10000.0,G<F,G<C<F,1.0,1.0,100000,1275.5635724067688
add,53,0.00072,2.5,7,Grokking,34000.0,44000.0,35000.0,10000.0,G<F,G<C<F,1.0,1.0,100000,1267.5569989681244
add,53,0.00072,2.5,2025,Grokking,30000.0,41500.0,24000.0,11500.0,G<F,C<G<F,1.0,1.0,100000,1263.9926688671112
add,53,0.00076,2.5,42,Grokking,29000.0,43500.0,19000.0,14500.0,G<F,C<G<F,1.0,1.0,100000,1254.241981267929
add,53,0.00076,2.5,7,Grokking,34500.0,47000.0,35000.0,12500.0,G<F,G<C<F,1.0,1.0,100000,1352.6984913349152
add,53,0.00076,2.5,2025,Grokking,28000.0,41000.0,22000.0,13000.0,G<F,C<G<F,1.0,1.0,100000,1379.692547082901
add,53,0.0008,2.5,42,Grokking,30500.0,40500.0,21500.0,10000.0,G<F,C<G<F,1.0,1.0,100000,1290.1335520744324
add,53,0.0008,2.5,7,Grokking,35500.0,43500.0,26500.0,8000.0,G<F,C<G<F,1.0,1.0,100000,1871.256339788437
add,53,0.0008,2.5,2025,Grokking,23000.0,39500.0,16500.0,16500.0,G<F,C<G<F,1.0,1.0,100000,2125.4199645519257
