lr,wd,seed,observed_phase,tau_gen,tau_F,delta,ordering,max_train_acc,max_test_acc,right_censored,runtime_sec
0.001,0.04,42,Memorization,,,,none,1.0000,0.0188,False,579.4
0.001,0.04,7,Memorization,,,,none,1.0000,0.0219,False,539.6
0.001,0.04,2025,Memorization,,42000.0,,F_only,1.0000,0.0183,False,550.0
0.001,0.16,42,Memorization,,,,none,1.0000,0.0188,False,591.3
0.001,0.16,7,Memorization,,,,none,1.0000,0.0219,False,574.0
0.001,0.16,2025,Memorization,,42000.0,,F_only,1.0000,0.0183,False,581.7
0.001,0.63,42,Grokking,,,,none,1.0000,0.9024,True,571.5
0.001,0.63,7,Memorization,,,,none,1.0000,0.1200,False,546.0
0.001,0.63,2025,Memorization,,41000.0,,F_only,1.0000,0.1352,False,560.5
0.001,2.5,42,Grokking,20500.0,33500.0,13000.0,G<F,1.0000,1.0000,False,568.9
0.001,2.5,7,Grokking,25000.0,27500.0,2500.0,G<F,1.0000,1.0000,False,566.9
0.001,2.5,2025,Grokking,20000.0,29500.0,9500.0,G<F,1.0000,1.0000,False,571.2
0.001,10.0,42,Confusion,,8500.0,,F_only,0.8622,0.6604,False,579.7
0.001,10.0,7,Memorization,,26500.0,,F_only,0.9240,0.7824,False,602.1
0.001,10.0,2025,Confusion,,12000.0,,F_only,0.8492,0.5308,False,554.3
0.0016,0.04,42,Memorization,,,,none,1.0000,0.0188,False,1154.3
0.0016,0.04,7,Memorization,,,,none,1.0000,0.0219,False,562.9
0.0016,0.04,2025,Memorization,,42000.0,,F_only,1.0000,0.0183,False,549.7
0.0016,0.16,42,Memorization,,,,none,1.0000,0.0188,False,563.7
0.0016,0.16,7,Memorization,,,,none,1.0000,0.0219,False,550.5
0.0016,0.16,2025,Memorization,,42000.0,,F_only,1.0000,0.0183,False,548.0
0.0016,0.63,42,Memorization,,,,none,1.0000,0.6396,False,528.0
0.0016,0.63,7,Memorization,,,,none,1.0000,0.4855,False,504.8
0.0016,0.63,2025,Grokking,,36500.0,,F_only,1.0000,0.9105,True,2652.0
0.0016,2.5,42,Comprehension,13500.0,23500.0,10000.0,G<F,1.0000,1.0000,False,595.7
0.0016,2.5,7,Comprehension,10000.0,15000.0,5000.0,G<F,1.0000,1.0000,False,605.4
0.0016,2.5,2025,Comprehension,13000.0,17500.0,4500.0,G<F,1.0000,1.0000,False,723.0
0.0016,10.0,42,Memorization,,10500.0,,F_only,0.9086,0.7021,False,554.0
0.0016,10.0,7,Grokking,,9500.0,,F_only,0.9952,0.9588,True,563.4
0.0016,10.0,2025,Confusion,,9000.0,,F_only,0.8207,0.5440,False,546.0
0.0025,0.04,42,Memorization,,,,none,1.0000,0.0188,False,543.3
0.0025,0.04,7,Memorization,,,,none,1.0000,0.0219,False,571.3
0.0025,0.04,2025,Memorization,,,,none,1.0000,0.0183,False,620.9
0.0025,0.16,42,Memorization,,,,none,1.0000,0.8317,False,607.6
0.0025,0.16,7,Memorization,,,,none,1.0000,0.8048,False,609.5
0.0025,0.16,2025,Memorization,,37500.0,,F_only,1.0000,0.8622,False,578.8
0.0025,0.63,42,Memorization,,20000.0,,F_only,1.0000,0.7473,False,554.4
0.0025,0.63,7,Memorization,,39500.0,,F_only,1.0000,0.3762,False,533.6
0.0025,0.63,2025,Memorization,,26500.0,,F_only,1.0000,0.8861,False,535.6
0.0025,2.5,42,Comprehension,11500.0,20500.0,9000.0,G<F,1.0000,1.0000,False,571.6
0.0025,2.5,7,Comprehension,10000.0,12500.0,2500.0,G<F,1.0000,1.0000,False,587.5
0.0025,2.5,2025,Comprehension,5500.0,10500.0,5000.0,G<F,1.0000,1.0000,False,581.1
0.0025,10.0,42,Memorization,,8000.0,,F_only,0.9893,0.8948,False,590.6
0.0025,10.0,7,Grokking,,8000.0,,F_only,0.9976,0.9415,True,593.0
0.0025,10.0,2025,Memorization,,8000.0,,F_only,0.9703,0.7916,False,618.6
0.004,0.04,42,Memorization,,,,none,1.0000,0.0188,False,577.8
0.004,0.04,7,Memorization,,42000.0,,F_only,1.0000,0.0219,False,860.4
0.004,0.04,2025,Memorization,,35000.0,,F_only,1.0000,0.0183,False,911.0
0.004,0.16,42,Grokking,47500.0,29000.0,-18500.0,F<G,1.0000,0.9995,False,623.8
0.004,0.16,7,Memorization,,41500.0,,F_only,1.0000,0.5216,False,630.0
0.004,0.16,2025,Grokking,,34000.0,,F_only,1.0000,0.9873,True,718.7
0.004,0.63,42,Memorization,,31000.0,,F_only,1.0000,0.0188,False,732.2
0.004,0.63,7,Memorization,,,,none,1.0000,0.0219,False,699.5
0.004,0.63,2025,Memorization,,35000.0,,F_only,1.0000,0.0183,False,462.9
0.004,2.5,42,Grokking,25000.0,29500.0,4500.0,G<F,1.0000,1.0000,False,470.2
0.004,2.5,7,Grokking,36000.0,37000.0,1000.0,G<F,1.0000,1.0000,False,485.1
0.004,2.5,2025,Comprehension,5500.0,18500.0,13000.0,G<F,1.0000,1.0000,False,562.2
0.004,10.0,42,Memorization,,8000.0,,F_only,0.9596,0.7341,False,535.4
0.004,10.0,7,Confusion,,9000.0,,F_only,0.8254,0.3142,False,551.8
0.004,10.0,2025,Confusion,,8000.0,,F_only,0.8670,0.5750,False,561.7
0.0063,0.04,42,Memorization,,42000.0,,F_only,1.0000,0.6436,False,570.4
0.0063,0.04,7,Memorization,,,,none,1.0000,0.0219,False,2636.2
0.0063,0.04,2025,Memorization,,30500.0,,F_only,1.0000,0.3635,False,590.9
0.0063,0.16,42,Memorization,,,,none,1.0000,0.0188,False,568.8
0.0063,0.16,7,Memorization,,,,none,1.0000,0.0219,False,655.5
0.0063,0.16,2025,Memorization,,42000.0,,F_only,1.0000,0.0183,False,695.5
0.0063,0.63,42,Memorization,,14000.0,,F_only,1.0000,0.0188,False,658.0
0.0063,0.63,7,Memorization,,14000.0,,F_only,1.0000,0.0219,False,802.7
0.0063,0.63,2025,Memorization,,9000.0,,F_only,1.0000,0.0183,False,568.0
0.0063,2.5,42,Memorization,,34500.0,,F_only,1.0000,0.0244,False,534.6
0.0063,2.5,7,Memorization,,8500.0,,F_only,1.0000,0.0219,False,515.7
0.0063,2.5,2025,Grokking,31000.0,31000.0,0.0,F<G,1.0000,1.0000,False,517.0
0.0063,10.0,42,Confusion,,8000.0,,F_only,0.6829,0.3076,False,498.0
0.0063,10.0,7,Confusion,,8000.0,,F_only,0.4952,0.1296,False,498.1
0.0063,10.0,2025,Confusion,,8000.0,,F_only,0.7862,0.4128,False,532.3
