lr,wd,seed,observed_phase,tau_gen,tau_F,delta,ordering,max_train_acc,max_test_acc,runtime_sec
0.0016,1.2,42,Grokking,32000.0,39000.0,7000.0,G<F,1.0000,0.9995,472.7
0.0016,1.2,7,Grokking,22500.0,28000.0,5500.0,G<F,1.0000,1.0000,482.3
0.0016,1.2,2025,Grokking,26000.0,34000.0,8000.0,G<F,1.0000,0.9888,485.7
0.0016,1.3516,42,Grokking,27500.0,38000.0,10500.0,G<F,1.0000,1.0000,2753.8
0.0016,1.3516,7,Grokking,19500.0,28500.0,9000.0,G<F,1.0000,1.0000,504.9
0.0016,1.3516,2025,Grokking,20500.0,25000.0,4500.0,G<F,1.0000,0.9980,589.0
0.0016,1.5223,42,Grokking,14000.0,21500.0,7500.0,G<F,1.0000,1.0000,789.3
0.0016,1.5223,7,Grokking,14500.0,20000.0,5500.0,G<F,1.0000,1.0000,687.3
0.0016,1.5223,2025,Grokking,16000.0,21500.0,5500.0,G<F,1.0000,1.0000,829.6
0.0016,1.7145,42,Grokking,13500.0,26500.0,13000.0,G<F,1.0000,1.0000,540.0
0.0016,1.7145,7,Grokking,17000.0,23500.0,6500.0,G<F,1.0000,1.0000,543.7
0.0016,1.7145,2025,Grokking,14000.0,39500.0,25500.0,G<F,1.0000,1.0000,535.7
0.0016,1.9311,42,Grokking,14000.0,19500.0,5500.0,G<F,1.0000,1.0000,622.0
0.0016,1.9311,7,Grokking,14500.0,28500.0,14000.0,G<F,1.0000,1.0000,595.9
0.0016,1.9311,2025,Grokking,12500.0,23500.0,11000.0,G<F,1.0000,1.0000,564.0
0.0016,2.175,42,Grokking,15000.0,23500.0,8500.0,G<F,1.0000,1.0000,579.5
0.0016,2.175,7,Grokking,11000.0,14000.0,3000.0,G<F,1.0000,1.0000,565.9
0.0016,2.175,2025,Grokking,8500.0,23500.0,15000.0,G<F,1.0000,1.0000,554.4
0.0016,2.4497,42,Grokking,11000.0,21500.0,10500.0,G<F,1.0000,1.0000,540.8
0.0016,2.4497,7,Grokking,12000.0,16000.0,4000.0,G<F,1.0000,1.0000,551.6
0.0016,2.4497,2025,Grokking,10000.0,15500.0,5500.0,G<F,1.0000,1.0000,555.7
0.0016,2.7591,42,Grokking,11500.0,29000.0,17500.0,G<F,1.0000,1.0000,529.4
0.0016,2.7591,7,Grokking,10500.0,18000.0,7500.0,G<F,1.0000,1.0000,546.1
0.0016,2.7591,2025,Grokking,10000.0,18500.0,8500.0,G<F,1.0000,1.0000,556.5
0.0016,3.1075,42,Grokking,12000.0,24500.0,12500.0,G<F,1.0000,1.0000,539.7
0.0016,3.1075,7,Grokking,10000.0,16500.0,6500.0,G<F,1.0000,1.0000,591.0
0.0016,3.1075,2025,Grokking,11000.0,11000.0,0.0,coincident,1.0000,1.0000,571.1
0.0016,3.5,42,Grokking,12000.0,26500.0,14500.0,G<F,1.0000,1.0000,601.3
0.0016,3.5,7,Grokking,19000.0,21500.0,2500.0,G<F,1.0000,1.0000,659.1
0.0016,3.5,2025,Grokking,11000.0,20000.0,9000.0,G<F,1.0000,1.0000,586.1
