operation,prime,lr,wd,seed,observed_phase,n_test_full,n_test_fpstar,tau_gen_full,tau_gen_fpstar,tau_F,delta_full,delta_fpstar,ordering_full,ordering_fpstar,max_train_acc,max_test_acc_full,max_test_acc_fpstar,runtime_sec
mul,53,0.0016,1.2,42,Grokking,1967,1897,20500.0,20500.0,30000.0,9500.0,9500.0,G<F,G<F,1.0,0.997966468334198,0.9978914260864258,460.940043926239
mul,53,0.0016,1.2,7,Grokking,1967,1896,23500.0,23500.0,30500.0,7000.0,7000.0,G<F,G<F,1.0,1.0,1.0,488.8698630332947
mul,53,0.0016,1.2,2025,Grokking,1967,1895,35500.0,35500.0,42000.0,6500.0,6500.0,G<F,G<F,1.0,0.9994916319847107,0.9994723200798035,479.49337577819824
mul,53,0.0016,1.3516,42,Grokking,1967,1897,14000.0,14000.0,25500.0,11500.0,11500.0,G<F,G<F,1.0,0.9994916319847107,0.9994728565216064,477.49649238586426
mul,53,0.0016,1.3516,7,Grokking,1967,1896,21000.0,21000.0,27000.0,6000.0,6000.0,G<F,G<F,1.0,1.0,1.0,478.0053713321686
mul,53,0.0016,1.3516,2025,Grokking,1967,1895,29500.0,29500.0,34000.0,4500.0,4500.0,G<F,G<F,1.0,1.0,1.0,477.9826400279999
mul,53,0.0016,1.5223,42,Grokking,1967,1897,22500.0,22500.0,38000.0,15500.0,15500.0,G<F,G<F,1.0,1.0,1.0,474.4625301361084
mul,53,0.0016,1.5223,7,Grokking,1967,1896,14000.0,14500.0,25000.0,11000.0,10500.0,G<F,G<F,1.0,1.0,1.0,476.1630120277405
mul,53,0.0016,1.5223,2025,Grokking,1967,1895,16500.0,16500.0,31500.0,15000.0,15000.0,G<F,G<F,1.0,1.0,1.0,476.8376793861389
mul,53,0.0016,1.7145,42,Grokking,1967,1897,13500.0,14000.0,37500.0,24000.0,23500.0,G<F,G<F,1.0,1.0,1.0,477.65346217155457
mul,53,0.0016,1.7145,7,Grokking,1967,1896,7500.0,7500.0,19500.0,12000.0,12000.0,G<F,G<F,1.0,1.0,1.0,475.27094054222107
mul,53,0.0016,1.7145,2025,Grokking,1967,1895,18000.0,18000.0,34500.0,16500.0,16500.0,G<F,G<F,1.0,1.0,1.0,475.9733259677887
mul,53,0.0016,1.9311,42,Grokking,1967,1897,17500.0,17500.0,23500.0,6000.0,6000.0,G<F,G<F,1.0,1.0,1.0,473.4194712638855
mul,53,0.0016,1.9311,7,Grokking,1967,1896,16500.0,16500.0,25000.0,8500.0,8500.0,G<F,G<F,1.0,1.0,1.0,475.26065373420715
mul,53,0.0016,1.9311,2025,Grokking,1967,1895,20000.0,20000.0,35000.0,15000.0,15000.0,G<F,G<F,1.0,1.0,1.0,475.9441215991974
mul,53,0.0016,2.175,42,Grokking,1967,1897,8500.0,8500.0,15500.0,7000.0,7000.0,G<F,G<F,1.0,1.0,1.0,476.38895750045776
mul,53,0.0016,2.175,7,Grokking,1967,1896,10500.0,10500.0,16000.0,5500.0,5500.0,G<F,G<F,1.0,1.0,1.0,476.8005244731903
mul,53,0.0016,2.175,2025,Grokking,1967,1895,20000.0,20000.0,35000.0,15000.0,15000.0,G<F,G<F,1.0,1.0,1.0,477.0271167755127
mul,53,0.0016,2.4497,42,Grokking,1967,1897,8500.0,8500.0,14000.0,5500.0,5500.0,G<F,G<F,1.0,1.0,1.0,475.6615128517151
mul,53,0.0016,2.4497,7,Grokking,1967,1896,8500.0,8500.0,16000.0,7500.0,7500.0,G<F,G<F,1.0,1.0,1.0,477.2019827365875
mul,53,0.0016,2.4497,2025,Grokking,1967,1895,22500.0,23000.0,33000.0,10500.0,10000.0,G<F,G<F,1.0,1.0,1.0,475.44503927230835
mul,53,0.0016,2.7591,42,Grokking,1967,1897,12000.0,12000.0,17500.0,5500.0,5500.0,G<F,G<F,1.0,1.0,1.0,475.94966292381287
mul,53,0.0016,2.7591,7,Grokking,1967,1896,9000.0,9000.0,14000.0,5000.0,5000.0,G<F,G<F,1.0,1.0,1.0,475.9086112976074
mul,53,0.0016,2.7591,2025,Grokking,1967,1895,21000.0,21000.0,26500.0,5500.0,5500.0,G<F,G<F,1.0,1.0,1.0,475.8564774990082
mul,53,0.0016,3.1075,42,Grokking,1967,1897,16000.0,16000.0,25000.0,9000.0,9000.0,G<F,G<F,1.0,1.0,1.0,475.3049085140228
mul,53,0.0016,3.1075,7,Grokking,1967,1896,11000.0,11000.0,14500.0,3500.0,3500.0,G<F,G<F,1.0,1.0,1.0,476.38542342185974
mul,53,0.0016,3.1075,2025,Grokking,1967,1895,12500.0,12500.0,25500.0,13000.0,13000.0,G<F,G<F,1.0,1.0,1.0,475.4430196285248
mul,53,0.0016,3.5,42,Grokking,1967,1897,14000.0,14000.0,23500.0,9500.0,9500.0,G<F,G<F,1.0,1.0,1.0,475.3146255016327
mul,53,0.0016,3.5,7,Grokking,1967,1896,12000.0,12000.0,23500.0,11500.0,11500.0,G<F,G<F,1.0,1.0,1.0,476.03923082351685
mul,53,0.0016,3.5,2025,Grokking,1967,1895,18000.0,18000.0,24500.0,6500.0,6500.0,G<F,G<F,1.0,1.0,1.0,475.6870563030243
