operation,prime,lr,wd,seed,observed_phase,tau_gen,tau_F,delta,ordering,max_train_acc,max_test_acc,max_steps_used,runtime_sec
add,53,0.0005,1.2,7,Memorization,,,,none,1.0,0.7935943007469177,80000,1334.1718711853027
add,53,0.0005,1.2,2025,Grokking,60000.0,,,G_only,1.0,0.9969496726989746,80000,1334.0483503341675
add,53,0.0005,1.2,42,Grokking,63000.0,67000.0,4000.0,G<F,1.0,0.9974580407142639,80000,1339.1087474822998
add,53,0.0005,1.4344,42,Grokking,53000.0,60000.0,7000.0,G<F,1.0,1.0,80000,1339.7693893909454
add,53,0.0005,1.4344,7,Grokking,68500.0,67000.0,-1500.0,F<G,1.0,0.9989832043647766,80000,1330.2498424053192
add,53,0.0005,1.4344,2025,Grokking,58000.0,,,G_only,1.0,1.0,80000,1331.9418320655823
add,53,0.0005,1.7145,42,Grokking,50000.0,67000.0,17000.0,G<F,1.0,1.0,80000,1335.2423748970032
add,53,0.0005,1.7145,7,Grokking,68500.0,67000.0,-1500.0,F<G,1.0,1.0,80000,1335.6259405612946
add,53,0.0005,2.0494,2025,Grokking,40000.0,,,G_only,1.0,0.9933909773826599,50000,835.970653295517
add,53,0.0005,2.4497,42,Grokking,48500.0,42000.0,-6500.0,F<G,1.0,1.0,50000,835.0147175788879
add,53,0.0005,1.7145,2025,Grokking,52500.0,65000.0,12500.0,G<F,1.0,1.0,80000,1331.0492095947266
add,53,0.0005,2.0494,42,Grokking,63500.0,66000.0,2500.0,G<F,1.0,1.0,80000,1332.423812866211
add,53,0.0005,2.0494,7,Grokking,75000.0,67000.0,-8000.0,F<G,1.0,1.0,80000,1334.3392851352692
add,53,0.0005,2.4497,2025,Grokking,38000.0,42000.0,4000.0,G<F,1.0,1.0,50000,832.295298576355
add,53,0.0005,2.9281,42,Grokking,39000.0,42000.0,3000.0,G<F,1.0,1.0,50000,832.1505510807037
add,53,0.0005,2.9281,2025,Grokking,34000.0,40500.0,6500.0,G<F,1.0,1.0,50000,830.8746771812439
add,53,0.0005,3.5,42,Grokking,33500.0,37500.0,4000.0,G<F,1.0,1.0,50000,831.2207689285278
add,53,0.0005,2.4497,7,Grokking,49500.0,53000.0,3500.0,G<F,1.0,1.0,80000,1332.8191120624542
add,53,0.0005,2.9281,7,Grokking,72000.0,65000.0,-7000.0,F<G,1.0,1.0,80000,1333.3272144794464
add,53,0.0005,3.5,2025,Grokking,33500.0,37000.0,3500.0,G<F,1.0,1.0,50000,831.0972285270691
add,53,0.0005,3.5,7,Memorization,,38000.0,,F_only,1.0,0.20437213778495789,80000,1330.0424411296844
add,53,0.000716,1.2,42,Grokking,52500.0,67000.0,14500.0,G<F,1.0,0.9989832043647766,80000,1333.2462537288666
add,53,0.000716,1.2,7,Memorization,,,,none,1.0,0.2821555733680725,80000,1333.5293662548065
add,53,0.000716,1.4344,42,Grokking,46500.0,,,G_only,1.0,0.986781895160675,50000,832.302613735199
add,53,0.000716,1.2,2025,Grokking,52500.0,67000.0,14500.0,G<F,1.0,0.9938993453979492,80000,1330.7684104442596
add,53,0.000716,1.7145,42,Grokking,40500.0,42000.0,1500.0,G<F,1.0,1.0,50000,831.3350555896759
add,53,0.000716,1.7145,7,Grokking,49000.0,40000.0,-9000.0,F<G,1.0,0.9806812405586243,50000,831.5637166500092
add,53,0.000716,1.4344,7,Grokking,62500.0,64000.0,1500.0,G<F,1.0,1.0,80000,1333.5238234996796
add,53,0.000716,1.7145,2025,Grokking,43000.0,,,G_only,1.0,0.984748363494873,50000,830.6098437309265
add,53,0.000716,2.0494,42,Grokking,40500.0,41500.0,1000.0,G<F,1.0,1.0,50000,830.2993049621582
add,53,0.000716,1.4344,2025,Grokking,58000.0,67000.0,9000.0,G<F,1.0,1.0,80000,1331.8795943260193
add,53,0.000716,2.0494,7,Grokking,38000.0,42000.0,4000.0,G<F,1.0,0.9984748363494873,50000,832.8038682937622
add,53,0.000716,2.0494,2025,Grokking,38000.0,42000.0,4000.0,G<F,1.0,1.0,50000,831.6304612159729
add,53,0.000716,2.4497,42,Grokking,34000.0,41500.0,7500.0,G<F,1.0,1.0,50000,831.56947016716
add,53,0.000716,2.4497,7,Grokking,36500.0,41000.0,4500.0,G<F,1.0,1.0,50000,833.0246932506561
