step,train_loss,test_loss,train_acc,test_acc,eff_dim
1,4.158802509307861,4.122200965881348,0.024940617382526398,0.01728520542383194,46.7752
100,0.004200377035886049,7.413940906524658,1.0,0.0005083883879706264,46.7610
200,0.004114825278520584,6.885191440582275,1.0,0.0015251652803272009,46.7369
300,0.0033730061259120703,6.526002407073975,1.0,0.005592272616922855,46.6971
400,0.002964506857097149,7.222281455993652,1.0,0.0020335535518825054,46.7737
500,0.004387602210044861,6.762449741363525,1.0,0.0010167767759412527,46.7525
600,0.004046353045850992,6.560708999633789,1.0,0.0,46.7063
700,0.0038243832532316446,6.410240173339844,1.0,0.0010167767759412527,46.6536
800,0.0036187516525387764,6.279032230377197,1.0,0.0015251652803272009,46.6025
900,0.040860798209905624,6.699580669403076,1.0,0.0025419420562684536,46.5736
1000,0.0027317290659993887,7.229138374328613,1.0,0.0030503305606544018,46.5816
1100,0.003513969713822007,6.866113185882568,1.0,0.0025419420562684536,46.5557
1200,0.0033968265634030104,6.6849212646484375,1.0,0.0025419420562684536,46.5109
1300,0.003342311829328537,6.5239715576171875,1.0,0.0030503305606544018,46.4650
1400,0.0031565960962325335,6.383766174316406,1.0,0.0025419420562684536,46.4186
1500,0.0028810487128794193,6.265817642211914,1.0,0.0020335535518825054,46.3695
1600,2.2962164878845215,5.659175395965576,0.4477434754371643,0.0005083883879706264,46.3272
1700,0.0022764359600842,7.899206638336182,1.0,0.0020335535518825054,46.3215
1800,0.0030494367238134146,7.410905838012695,1.0,0.0020335535518825054,46.2967
1900,0.0029814965091645718,7.157127380371094,1.0,0.0020335535518825054,46.2523
2000,0.0029668640345335007,6.918606281280518,1.0,0.0015251652803272009,46.2063
2100,0.0029612919315695763,6.703940391540527,1.0,0.0015251652803272009,46.1647
2200,0.0027924510650336742,6.533799171447754,1.0,0.0005083883879706264,46.1221
2300,0.0025812757667154074,6.388186454772949,1.0,0.0010167767759412527,46.0780
2400,1.8438674211502075,5.808796405792236,0.6104512810707092,0.0,46.0372
2500,0.0020661663729697466,8.221856117248535,1.0,0.0020335535518825054,46.0043
2600,0.002634420059621334,7.744689464569092,1.0,0.0025419420562684536,45.9774
2700,0.00261724297888577,7.427018165588379,1.0,0.0020335535518825054,45.9351
2800,0.0026451232843101025,7.116596698760986,1.0,0.0020335535518825054,45.8939
2900,0.0026492641773074865,6.844236373901367,1.0,0.0015251652803272009,45.8564
3000,0.0025187635328620672,6.627511501312256,1.0,0.0015251652803272009,45.8167
3100,0.002352905459702015,6.450077533721924,1.0,0.0020335535518825054,45.7750
3200,0.002198208589106798,6.312100410461426,1.0,0.0015251652803272009,45.7326
3300,0.0015514845727011561,8.648201942443848,1.0,0.0010167767759412527,45.7054
3400,0.002259087050333619,8.027173042297363,1.0,0.0005083883879706264,45.6820
3500,0.002306592185050249,7.631515026092529,1.0,0.0005083883879706264,45.6410
3600,0.00233784900046885,7.248478412628174,1.0,0.0015251652803272009,45.6011
3700,0.002377687254920602,6.91338586807251,1.0,0.0020335535518825054,45.5649
3800,0.0022807279601693153,6.660911560058594,1.0,0.0020335535518825054,45.5254
3900,0.0021447804756462574,6.458654880523682,1.0,0.0020335535518825054,45.4830
4000,0.4439667761325836,6.253704071044922,0.8752968907356262,0.005083884112536907,45.4392
4100,0.0014479298843070865,8.31350040435791,1.0,0.0015251652803272009,45.4022
4200,0.0018386312294751406,7.821162223815918,1.0,0.0015251652803272009,45.3746
4300,0.001980821369215846,7.349784851074219,1.0,0.0020335535518825054,45.3396
4400,0.002111046575009823,6.92631721496582,1.0,0.0015251652803272009,45.3074
4500,0.002080765552818775,6.62513542175293,1.0,0.0025419420562684536,45.2718
4600,0.0019796432461589575,6.405989646911621,1.0,0.0015251652803272009,45.2318
4700,0.001869430998340249,6.250561714172363,1.0,0.0015251652803272009,45.1895
4800,0.00389119703322649,6.138947486877441,1.0,0.0015251652803272009,45.1461
4900,0.0013716497924178839,8.934961318969727,1.0,0.0020335535518825054,45.1004
5000,0.001792256603948772,8.334979057312012,1.0,0.0025419420562684536,45.0703
5100,0.0018355160718783736,7.8567914962768555,1.0,0.0020335535518825054,45.0284
5200,0.0018847791943699121,7.373747825622559,1.0,0.0015251652803272009,44.9918
5300,0.001916492939926684,6.955699443817139,1.0,0.0015251652803272009,44.9571
5400,0.0018596621230244637,6.6471405029296875,1.0,0.0020335535518825054,44.9182
5500,0.0017803999362513423,6.426399230957031,1.0,0.0025419420562684536,44.8753
5600,0.001912335050292313,6.267435550689697,1.0,0.0035587188322097063,44.8295
5700,0.001309389597736299,9.068415641784668,1.0,0.0015251652803272009,44.7762
5800,0.0017595253884792328,8.430004119873047,1.0,0.0015251652803272009,44.7468
5900,0.0017803009832277894,7.9400434494018555,1.0,0.0020335535518825054,44.7029
6000,0.0018034204840660095,7.4278717041015625,1.0,0.0015251652803272009,44.6638
6100,0.0018517825519666076,6.98116397857666,1.0,0.0010167767759412527,44.6273
6200,0.001805120729841292,6.65797233581543,1.0,0.0015251652803272009,44.5861
6300,0.0017205526819452643,6.427069187164307,1.0,0.0015251652803272009,44.5397
6400,1.4318331480026245,6.408870697021484,0.6698337197303772,0.0,44.4759
6500,0.0013459272449836135,8.967638969421387,1.0,0.0025419420562684536,44.4164
6600,0.0016306607285514474,8.394639015197754,1.0,0.0015251652803272009,44.3788
6700,0.0016043558716773987,7.875034809112549,1.0,0.0010167767759412527,44.3336
6800,0.0016326837940141559,7.335962772369385,1.0,0.0010167767759412527,44.2951
6900,0.0016511508729308844,6.901737213134766,1.0,0.0010167767759412527,44.2560
7000,0.0015962623292580247,6.604757308959961,1.0,0.0010167767759412527,44.2108
7100,0.0015008075861260295,6.416433334350586,1.0,0.0020335535518825054,44.1604
7200,0.001370244543068111,6.325283527374268,1.0,0.0020335535518825054,44.1075
7300,0.0014051083708181977,9.61978530883789,1.0,0.0025419420562684536,44.0745
7400,0.0020760425832122564,8.832714080810547,1.0,0.0010167767759412527,44.0448
7500,0.002072787843644619,8.357157707214355,1.0,0.0010167767759412527,43.9911
7600,0.0019272707868367434,7.900304317474365,1.0,0.0020335535518825054,43.9359
7700,0.0018658192129805684,7.421616077423096,1.0,0.0020335535518825054,43.8905
7800,0.0018236212199553847,6.997795104980469,1.0,0.0025419420562684536,43.8475
7900,0.0017158238915726542,6.6925835609436035,1.0,0.0020335535518825054,43.7989
8000,0.9427387118339539,6.606781959533691,0.8171021342277527,0.0015251652803272009,43.7277
8100,0.0013081610668450594,8.793368339538574,1.0,0.0020335535518825054,43.6849
8200,0.0016082287766039371,8.144475936889648,1.0,0.0005083883879706264,43.6450
8300,0.001671480480581522,7.573675632476807,1.0,0.0010167767759412527,43.5980
8400,0.0017708407249301672,7.0643696784973145,1.0,0.0020335535518825054,43.5561
8500,0.0017655955161899328,6.712667942047119,1.0,0.0035587188322097063,43.5094
8600,0.0016827939543873072,6.4777021408081055,1.0,0.0025419420562684536,43.4552
8700,0.0015657207695767283,6.3206787109375,1.0,0.0035587188322097063,43.3964
8800,0.0013183668488636613,9.592763900756836,1.0,0.004575495608150959,43.3132
8900,0.001520697958767414,8.773636817932129,1.0,0.0025419420562684536,43.2963
9000,0.0016576226335018873,8.188697814941406,1.0,0.0010167767759412527,43.2450
9100,0.0016168704023584723,7.6361470222473145,1.0,0.0020335535518825054,43.1913
9200,0.0016671045450493693,7.11685848236084,1.0,0.0015251652803272009,43.1458
9300,0.0016460964689031243,6.7428765296936035,1.0,0.0015251652803272009,43.0974
9400,0.0015226630493998528,6.499781608581543,1.0,0.0025419420562684536,43.0422
9500,0.0013614397030323744,6.3825507164001465,1.0,0.0035587188322097063,42.9827
9600,0.0012699281796813011,9.16025161743164,1.0,0.0035587188322097063,42.9286
9700,0.0016373336547985673,8.458456039428711,1.0,0.0030503305606544018,42.8856
9800,0.0016337076667696238,7.897433280944824,1.0,0.0030503305606544018,42.8254
9900,0.0016480627236887813,7.356460094451904,1.0,0.0035587188322097063,42.7711
10000,0.0016722152940928936,6.91632080078125,1.0,0.004575495608150959,42.7199
10100,0.0015993687557056546,6.616447448730469,1.0,0.005083884112536907,42.6626
10200,0.0013609705492854118,6.526236057281494,1.0,0.004575495608150959,42.6000
10300,0.000999622279778123,8.852205276489258,1.0,0.004067107103765011,42.5254
10400,0.0013595077907666564,8.11793041229248,1.0,0.0030503305606544018,42.4855
10500,0.0014707059599459171,7.4903244972229,1.0,0.0030503305606544018,42.4317
10600,0.0014912229962646961,6.996495723724365,1.0,0.004575495608150959,42.3824
10700,0.0013081999495625496,6.889959812164307,1.0,0.005592272616922855,42.3301
10800,0.0008181758457794785,8.692734718322754,1.0,0.004067107103765011,42.2362
10900,0.001188913593068719,7.943605899810791,1.0,0.004575495608150959,42.2008
11000,0.001352474675513804,7.332565784454346,1.0,0.0035587188322097063,42.1467
11100,0.0014396514743566513,6.890849590301514,1.0,0.004067107103765011,42.0940
11200,0.001311727100983262,6.66110897064209,1.0,0.004067107103765011,42.0359
11300,0.0010343350004404783,6.6328535079956055,1.0,0.0035587188322097063,41.9726
11400,0.0060564326122403145,9.10287857055664,1.0,0.009150991216301918,41.8720
11500,0.0014956807717680931,8.993967056274414,1.0,0.005083884112536907,41.8638
11600,0.0017142692813649774,8.363021850585938,1.0,0.005592272616922855,41.8027
11700,0.001608076156117022,7.8263397216796875,1.0,0.005592272616922855,41.7265
11800,0.0014830011641606688,7.348233699798584,1.0,0.0061006611213088036,41.6581
11900,0.0013891829876229167,7.089268684387207,1.0,0.005592272616922855,41.5978
12000,0.0011992703657597303,7.071920871734619,1.0,0.0061006611213088036,41.5358
12100,0.0009374052751809359,9.29609489440918,1.0,0.009659379720687866,41.4572
12200,0.0013829638483002782,8.39853286743164,1.0,0.005592272616922855,41.4285
12300,0.0014723518397659063,7.827148914337158,1.0,0.005592272616922855,41.3607
12400,0.0014218431897461414,7.311923503875732,1.0,0.006609049160033464,41.2872
12500,0.0012985492357984185,6.945460796356201,1.0,0.007625826168805361,41.2223
12600,0.0008920474210754037,6.9435930252075195,1.0,0.008134214207530022,41.1595
12700,0.0005746972747147083,7.282828330993652,1.0,0.010167768225073814,41.0962
12800,1.4669471979141235,6.671769142150879,0.6152018904685974,0.0020335535518825054,41.0367
12900,0.0014726389199495316,9.127222061157227,1.0,0.009659379720687866,41.0801
13000,0.001908166566863656,8.396527290344238,1.0,0.010676156729459763,41.0227
13100,0.0018229300621896982,7.881555080413818,1.0,0.013726486824452877,40.9321
13200,0.0016817025607451797,7.36902379989624,1.0,0.016268428415060043,40.8363
13300,0.0016055485466495156,6.903712749481201,1.0,0.01677681691944599,40.7520
13400,0.0014188821660354733,6.591306209564209,1.0,0.01728520542383194,40.6767
13500,0.0009776575025171041,6.583810806274414,1.0,0.01728520542383194,40.6025
13600,0.0006474938127212226,6.978929042816162,1.0,0.019318759441375732,40.5301
