step,train_acc,test_acc,f_emb_corr
1,0.021377671509981155,0.021860701963305473,0.0
500,1.0,0.0015251652803272009,0.0
1000,1.0,0.0030503305606544018,0.0
1500,1.0,0.005083884112536907,0.0
2000,1.0,0.007117437664419413,0.0
2500,1.0,0.009150991216301918,0.0
3000,1.0,0.015760039910674095,0.0
3500,1.0,0.018301982432603836,0.0
4000,1.0,0.018810370936989784,0.0
4500,1.0,0.029994916170835495,0.0
5000,0.9976246953010559,0.010676156729459763,0.0
5500,1.0,0.03457041084766388,0.0
6000,1.0,0.058464668691158295,0.0
6500,1.0,0.0843924731016159,0.0
7000,0.9429928660392761,0.023385867476463318,0.0
7500,1.0,0.1718352884054184,0.0
8000,1.0,0.2923233211040497,0.0
8500,1.0,0.44331470131874084,0.0
9000,1.0,0.5943060517311096,4.05483482697061e-05
9500,1.0,0.7778342366218567,0.0010863022689931862
10000,1.0,0.8601931929588318,0.0
10500,1.0,0.9145907759666443,0.0003841135849018129
11000,1.0,0.9034062027931213,0.0021463124663170796
11500,1.0,0.9445856809616089,0.004054705831801064
12000,1.0,0.9557701945304871,0.006228665541698153
12500,1.0,0.9572953581809998,0.00878047031781043
13000,1.0,0.9522114992141724,0.011991228178364344
13500,1.0,0.9715302586555481,0.015095679735791456
14000,1.0,0.984748363494873,0.018528184906774825
14500,1.0,0.9928825497627258,0.02225831496515357
15000,1.0,0.9928825497627258,0.023026134669371014
15500,1.0,0.9959328770637512,0.02811647992861336
16000,1.0,0.9959328770637512,0.03373924824954514
16500,1.0,0.9964413046836853,0.03949639927601082
17000,1.0,0.9974580407142639,0.04571830804487357
17500,1.0,0.997966468334198,0.05166602409965463
18000,0.7125890851020813,0.6314184069633484,0.05762158514731123
18500,1.0,1.0,0.06396766766508258
19000,1.0,0.9989832043647766,0.07012463139550398
19500,1.0,1.0,0.07583322445394061
20000,1.0,1.0,0.07683618799300233
20500,1.0,1.0,0.08312599147521553
21000,1.0,1.0,0.08790929848991695
21500,1.0,1.0,0.09272596451638342
22000,1.0,1.0,0.09868136121537523
22500,1.0,1.0,0.1010427037180041
23000,1.0,1.0,0.107086013256167
23500,1.0,0.9994916319847107,0.11146903604091145
24000,1.0,1.0,0.1186808734711368
24500,0.9952493906021118,0.9466192126274109,0.1254452685098269
25000,1.0,1.0,0.12343744943621496
25500,1.0,1.0,0.13026765290373613
26000,1.0,1.0,0.13730404652369047
26500,1.0,0.9994916319847107,0.1431414391349284
27000,0.9964370727539062,0.9852567315101624,0.15501627540977228
27500,1.0,1.0,0.16136444685884424
28000,1.0,1.0,0.16901284277125675
28500,1.0,1.0,0.18180951384731073
29000,1.0,1.0,0.19008625566467177
29500,1.0,1.0,0.20494045032170596
30000,1.0,1.0,0.20637134068106064
30500,1.0,1.0,0.21088332254194328
31000,1.0,1.0,0.21303425427711573
31500,1.0,1.0,0.214487725742441
32000,1.0,1.0,0.17795307737453156
32500,1.0,1.0,0.1596727842450679
33000,1.0,0.9984748363494873,0.1683325669018055
33500,1.0,1.0,0.20607161926959214
34000,1.0,1.0,0.17373558589166258
34500,1.0,1.0,0.17546577325571608
35000,1.0,1.0,0.18106725198658682
35500,1.0,1.0,0.17503861940507118
36000,1.0,1.0,0.17541066810707687
36500,1.0,1.0,0.16134571939544176
37000,1.0,1.0,0.15285591024196346
37500,1.0,1.0,0.16093761179327973
38000,1.0,1.0,0.1724488630875636
38500,1.0,1.0,0.16868568799194597
39000,1.0,1.0,0.18637033164823794
39500,1.0,0.9964413046836853,0.1993127598024156
40000,1.0,1.0,0.1964839102238822
40500,1.0,1.0,0.16873738372334232
41000,0.9964370727539062,0.9791560769081116,0.19650668726794115
41500,1.0,1.0,0.16852459432448572
42000,1.0,1.0,0.17521795226206735
42500,1.0,1.0,0.16824739196872804
43000,1.0,1.0,0.16688903086715687
43500,1.0,1.0,0.1733659868413869
44000,1.0,1.0,0.1733428744204247
44500,1.0,1.0,0.16869397502354752
45000,1.0,1.0,0.17209161924935884
45500,1.0,1.0,0.1711910418436275
46000,1.0,1.0,0.18228236263284542
46500,1.0,1.0,0.18152498307338355
47000,1.0,1.0,0.16411782185697682
47500,1.0,1.0,0.16976610707381296
48000,1.0,1.0,0.16057697999277915
48500,1.0,1.0,0.1988605484317199
49000,1.0,1.0,0.1962494023485289
49500,1.0,1.0,0.17951262773100946
50000,1.0,1.0,0.1887524734664409
50500,1.0,1.0,0.20039022295534595
51000,1.0,1.0,0.1917393781153464
51500,1.0,1.0,0.17180754114517274
52000,1.0,1.0,0.18737380915497795
52500,1.0,1.0,0.20094751250557244
53000,1.0,1.0,0.17621204333174148
53500,1.0,1.0,0.18926673041569922
54000,1.0,0.9994916319847107,0.18786164500618444
54500,1.0,1.0,0.17807589261379766
55000,1.0,1.0,0.17784369224825514
55500,1.0,1.0,0.18176935229755253
56000,1.0,1.0,0.1922366391000493
56500,1.0,0.9984748363494873,0.18880306682783532
57000,1.0,1.0,0.20077632316964378
57500,1.0,1.0,0.19029334395316144
58000,0.9845605492591858,0.9450940489768982,0.2132917439510964
58500,1.0,1.0,0.18449632756041479
59000,1.0,1.0,0.19730531313255728
59500,1.0,1.0,0.20513941961315663
60000,1.0,1.0,0.19751454446150418
60500,1.0,1.0,0.20824962470457553
61000,1.0,0.9989832043647766,0.21387714648100165
61500,1.0,0.9994916319847107,0.20605446376170966
62000,1.0,1.0,0.2053899564548204
62500,1.0,1.0,0.20023791280020464
63000,1.0,1.0,0.19146269778848402
63500,1.0,1.0,0.20882464911961118
64000,1.0,1.0,0.21057317508055895
64500,1.0,1.0,0.20747140927575192
65000,1.0,1.0,0.20192987979183846
65500,1.0,1.0,0.21845807195548467
66000,1.0,1.0,0.20453220433066172
66500,0.9916864633560181,0.9374682307243347,0.2231802894604859
67000,1.0,1.0,0.21219973968219336
67500,1.0,1.0,0.20741586511538274
68000,1.0,1.0,0.19246372140030638
68500,1.0,1.0,0.21913283023560542
69000,1.0,1.0,0.19631405002822738
69500,1.0,1.0,0.20193884398425727
70000,1.0,0.988815426826477,0.2052442616762289
70500,1.0,1.0,0.19240361501857906
71000,1.0,1.0,0.18546280904842838
71500,1.0,1.0,0.1934392916540827
72000,1.0,1.0,0.1999499932775225
72500,1.0,1.0,0.1949844600067363
73000,1.0,1.0,0.18025276271561042
73500,1.0,1.0,0.18513043264331086
74000,1.0,1.0,0.21080035029826127
74500,1.0,1.0,0.2163808455138696
75000,0.9988123774528503,0.9862735271453857,0.20969792748737956
75500,1.0,1.0,0.20070079384875492
76000,1.0,1.0,0.2005140700075255
76500,1.0,1.0,0.18609302553948134
77000,1.0,0.9989832043647766,0.21335758667480562
77500,1.0,1.0,0.1899495170072749
78000,1.0,1.0,0.20334375656869771
78500,0.9619952440261841,0.9095068573951721,0.2140042525899792
79000,0.9940617680549622,0.9674631357192993,0.21431790964685446
79500,1.0,1.0,0.19923747237997477
80000,0.9441805481910706,0.8551092743873596,0.22208309547682897
