step,train_acc,test_acc,f_emb_corr
1,0.024940617382526398,0.017793593928217888,0.0
500,0.9976246953010559,0.03609557822346687,0.0
1000,1.0,0.03609557822346687,0.0
1500,1.0,0.03609557822346687,0.0
2000,1.0,0.038129132241010666,0.0
2500,1.0,0.041687849909067154,0.0
3000,1.0,0.04473818093538284,0.0
3500,1.0,0.0564311146736145,0.0
4000,1.0,0.06354855000972748,0.0
4500,1.0,0.08083375543355942,0.0
5000,1.0,0.12201321870088577,0.0
5500,1.0,0.21148957312107086,0.0
6000,1.0,0.29944077134132385,0.0
6500,1.0,0.47686833143234253,0.0
7000,1.0,0.6766649484634399,0.0
7500,1.0,0.7905439734458923,0.0
8000,0.9548693299293518,0.306558221578598,0.0
8500,1.0,0.9374682307243347,0.0
9000,1.0,0.951194703578949,0.0
9500,1.0,0.9496695399284363,0.0
10000,1.0,0.949161171913147,0.0
10500,1.0,0.9771225452423096,0.0
11000,1.0,0.9755973815917969,0.0
11500,1.0,0.9786477088928223,0.0
12000,1.0,0.988815426826477,0.0
12500,1.0,0.984748363494873,0.0
13000,1.0,0.9908490180969238,0.0
13500,1.0,0.9913573861122131,0.0
14000,1.0,0.9908490180969238,0.0
14500,1.0,0.9918658137321472,0.0
15000,1.0,0.9893238544464111,0.0
15500,1.0,0.9944077134132385,0.0
16000,1.0,0.9913573861122131,0.0
16500,1.0,0.9928825497627258,0.0
17000,1.0,0.9959328770637512,0.0
17500,1.0,0.9964413046836853,0.0
18000,1.0,0.9959328770637512,0.0
18500,1.0,0.9964413046836853,0.0
19000,1.0,0.9944077134132385,0.0
19500,1.0,0.9974580407142639,0.0
20000,1.0,0.9949161410331726,0.0
20500,1.0,0.9984748363494873,0.0
21000,1.0,0.9964413046836853,0.0
21500,1.0,0.9984748363494873,0.0
22000,1.0,0.9959328770637512,0.0
22500,1.0,0.9989832043647766,0.0
23000,1.0,0.9974580407142639,0.0
23500,1.0,0.9989832043647766,0.0
24000,1.0,0.9959328770637512,0.0
24500,1.0,0.9989832043647766,0.0
25000,1.0,0.9913573861122131,0.0
25500,1.0,0.9974580407142639,0.0
26000,1.0,0.9989832043647766,0.0
26500,1.0,0.9984748363494873,0.0
27000,1.0,0.9994916319847107,0.0
27500,1.0,0.9994916319847107,0.0
28000,1.0,0.9964413046836853,0.0
28500,1.0,0.9994916319847107,0.0
29000,1.0,1.0,0.0
29500,1.0,1.0,0.0
30000,1.0,0.9994916319847107,0.0
30500,1.0,1.0,0.0
31000,1.0,0.997966468334198,0.0
31500,1.0,0.9959328770637512,0.0
32000,1.0,1.0,0.0
32500,1.0,1.0,0.0
33000,1.0,1.0,0.0
33500,1.0,1.0,0.0
34000,1.0,1.0,0.0
34500,1.0,1.0,0.0
35000,1.0,1.0,0.0
35500,1.0,1.0,0.0
36000,1.0,1.0,0.0
36500,1.0,1.0,0.0
37000,1.0,0.9969496726989746,0.0
37500,0.8717339634895325,0.8286731243133545,0.0
38000,1.0,1.0,0.0
38500,1.0,0.9908490180969238,0.0
39000,1.0,1.0,0.0
39500,1.0,1.0,0.0
40000,1.0,0.9994916319847107,0.0
40500,1.0,1.0,0.0
41000,1.0,1.0,0.0
41500,1.0,1.0,0.0
42000,1.0,1.0,0.0
42500,1.0,1.0,0.0
43000,1.0,1.0,0.0
43500,1.0,1.0,0.0
44000,1.0,1.0,0.0
44500,1.0,1.0,0.0
45000,1.0,1.0,0.0
45500,1.0,1.0,0.0
46000,1.0,1.0,0.0
46500,1.0,0.9954245090484619,0.0
47000,1.0,1.0,0.0
47500,1.0,1.0,0.0
48000,1.0,1.0,0.0
48500,1.0,1.0,0.0
49000,1.0,1.0,0.0
49500,0.980997622013092,0.9323843121528625,0.0
50000,1.0,1.0,0.0
