step,train_acc,test_acc,f_emb_corr
1,0.01425178162753582,0.018810370936989784,0.0
500,1.0,0.0,0.0
1000,1.0,0.0010167767759412527,0.0
1500,1.0,0.0015251652803272009,0.0
2000,1.0,0.0015251652803272009,0.0
2500,1.0,0.0030503305606544018,0.0
3000,1.0,0.0035587188322097063,0.0
3500,1.0,0.004067107103765011,0.0
4000,1.0,0.007625826168805361,0.0
4500,1.0,0.009150991216301918,0.0
5000,1.0,0.010676156729459763,0.0
5500,1.0,0.013218098320066929,0.0
6000,0.980997622013092,0.004575495608150959,0.0
6500,1.0,0.015251652337610722,0.0
7000,1.0,0.021352313458919525,0.0
7500,1.0,0.033045247197151184,0.0
8000,1.0,0.05998983234167099,0.0
8500,1.0,0.09862735122442245,0.0
9000,1.0,0.13523131608963013,0.0
9500,1.0,0.19369597733020782,0.0
10000,1.0,0.3050330579280853,0.0
10500,1.0,0.40874427556991577,0.0
11000,1.0,0.5383833050727844,0.0
11500,1.0,0.708185076713562,0.0
12000,1.0,0.8881545662879944,0.0
12500,1.0,0.9156075119972229,0.0
13000,1.0,0.9461108446121216,0.0
13500,0.834916889667511,0.15353329479694366,0.0
14000,1.0,0.9420437216758728,0.0
14500,1.0,0.9608541131019592,0.0
15000,1.0,0.96695476770401,0.0
15500,1.0,0.9369598627090454,0.0
16000,1.0,0.968988299369812,0.00016331973918969067
16500,1.0,0.9700050950050354,0.0010906665866762116
17000,1.0,0.9694966673851013,0.0021702106482352906
17500,1.0,0.9659379720687866,0.0036762847319270348
18000,1.0,0.9171326756477356,0.0053381779375037824
18500,1.0,0.9755973815917969,0.00695545779627281
19000,1.0,0.9786477088928223,0.008839534643768729
19500,1.0,0.9786477088928223,0.011056794739748507
20000,1.0,0.9806812405586243,0.012372594598270607
20500,1.0,0.9837315678596497,0.01603801762134243
21000,1.0,0.9837315678596497,0.01885395569255182
21500,1.0,0.9816980361938477,0.022770917785973004
22000,1.0,0.9827147722244263,0.02709687851159264
22500,1.0,0.9852567315101624,0.030674313466146512
23000,1.0,0.9872902631759644,0.034331570674714644
23500,1.0,0.9898322224617004,0.03871503347881027
24000,1.0,0.9877986907958984,0.04291126400990813
24500,0.6496437191963196,0.32486018538475037,0.04653467533728289
25000,1.0,0.9883070588111877,0.04759925207325552
25500,1.0,0.984748363494873,0.05185560989628232
26000,1.0,0.9883070588111877,0.05570616854115015
26500,1.0,0.9857650995254517,0.05971668390753801
27000,1.0,0.9913573861122131,0.06296986610236763
27500,1.0,0.9903405904769897,0.06552824523646214
28000,1.0,0.9903405904769897,0.06883914796915566
28500,1.0,0.9877986907958984,0.0722732976565976
29000,1.0,0.9898322224617004,0.07538124703425272
29500,1.0,0.9933909773826599,0.07852297245141213
30000,1.0,0.9933909773826599,0.08070075352408859
30500,1.0,0.9928825497627258,0.0840486904530077
