operation,prime,lr,wd,seed,top_k,observed_phase,tau_train,tau_gen,tau_F,tau_circuit_ours,tau_circuit_nanda_restricted,tau_circuit_nanda_excluded,delta_restricted_vs_ours,delta_excluded_vs_ours,delta_gc_ours,delta_gc_nanda_restricted,nanda_keys_static,nanda_restricted_loss_final,nanda_excluded_loss_final,nanda_full_loss_final,max_train_acc,max_test_acc,trajectory_file,runtime_sec
add,53,0.0016,1.2,42,5,Grokking,500.0,32000.0,39000.0,8000.0,42000.0,10500.0,34000.0,2500.0,24000.0,-10000.0,"12,13,23,18,9",1.2870258180210608,0.1862784157815794,0.005937966320491811,1.0,0.9994916319847107,traj_lr1.600000e-03_wd1.2000_seed42.npz,529.5510125160217
add,53,0.0016,1.2,7,5,Grokking,500.0,22500.0,28000.0,8000.0,29500.0,14000.0,21500.0,6000.0,14500.0,-7000.0,"22,16,1,26,18",0.7859015722674966,0.3848950309054616,0.0015575376485534782,1.0,1.0,traj_lr1.600000e-03_wd1.2000_seed7.npz,538.9268531799316
add,53,0.0016,1.2,2025,5,Grokking,500.0,26000.0,34000.0,11500.0,32000.0,8000.0,20500.0,-3500.0,14500.0,-6000.0,"6,5,25,23,2",1.4665697966473203,0.08015033519845967,0.029664073003284424,1.0,0.988815426826477,traj_lr1.600000e-03_wd1.2000_seed2025.npz,552.8996138572693
add,53,0.0016,1.3516,42,5,Grokking,500.0,27500.0,38000.0,8000.0,9500.0,8500.0,1500.0,500.0,19500.0,18000.0,"17,9,4,3,24",0.023273508496260625,2.7234194047040234,0.0014984158897018522,1.0,1.0,traj_lr1.600000e-03_wd1.3516_seed42.npz,544.3587121963501
add,53,0.0016,1.3516,7,5,Grokking,500.0,19500.0,28500.0,10500.0,34500.0,13000.0,24000.0,2500.0,9000.0,-15000.0,"26,10,1,23,18",0.9147316253327721,0.2102848160447849,0.0004895533781347345,1.0,1.0,traj_lr1.600000e-03_wd1.3516_seed7.npz,585.2011699676514
add,53,0.0016,1.3516,2025,5,Grokking,500.0,20500.0,25000.0,11000.0,18500.0,12000.0,7500.0,1000.0,9500.0,2000.0,"14,5,2,4,15",0.14860239451371676,2.3889479654828514,0.031331230650125295,1.0,0.997966468334198,traj_lr1.600000e-03_wd1.3516_seed2025.npz,592.030398607254
add,53,0.0016,1.5223,42,5,Grokking,500.0,14000.0,21500.0,9000.0,8000.0,12000.0,-1000.0,3000.0,5000.0,6000.0,"9,11,7,19,24",0.062450713536188605,1.5545253168265407,0.0020627613729447968,1.0,1.0,traj_lr1.600000e-03_wd1.5223_seed42.npz,548.0405423641205
add,53,0.0016,1.5223,7,5,Grokking,2000.0,14500.0,20000.0,10000.0,8500.0,13000.0,-1500.0,3000.0,4500.0,6000.0,"3,18,14,1,22",0.3106427747958805,0.9971280942021974,0.002124671371211059,1.0,1.0,traj_lr1.600000e-03_wd1.5223_seed7.npz,511.9321777820587
add,53,0.0016,1.5223,2025,5,Grokking,2000.0,16000.0,21500.0,8000.0,19500.0,12000.0,11500.0,4000.0,8000.0,-3500.0,"17,5,15,3,4",0.2887926612939052,3.202002352408039,0.11587947255109132,1.0,1.0,traj_lr1.600000e-03_wd1.5223_seed2025.npz,561.0529162883759
add,53,0.0016,1.7145,42,5,Grokking,500.0,13500.0,26500.0,9500.0,13000.0,13000.0,3500.0,3500.0,4000.0,500.0,"1,6,21,9,4",0.018531187489825327,2.2125528296717816,0.0011565919165595234,1.0,1.0,traj_lr1.600000e-03_wd1.7145_seed42.npz,526.8431468009949
add,53,0.0016,1.7145,7,5,Grokking,500.0,17000.0,23500.0,16000.0,18000.0,14000.0,2000.0,-2000.0,1000.0,-1000.0,"14,22,1,9,5",0.09030820818964516,2.075583029274883,0.0012665849063523058,1.0,1.0,traj_lr1.600000e-03_wd1.7145_seed7.npz,568.7434477806091
add,53,0.0016,1.7145,2025,5,Grokking,500.0,14000.0,39500.0,8000.0,36500.0,12000.0,28500.0,4000.0,6000.0,-22500.0,"17,6,4,22,5",0.08499836589366763,1.6440976267080467,0.001201832882910037,1.0,1.0,traj_lr1.600000e-03_wd1.7145_seed2025.npz,652.7325983047485
add,53,0.0016,1.9311,42,5,Grokking,500.0,14000.0,19500.0,10500.0,8500.0,13000.0,-2000.0,2500.0,3500.0,5500.0,"9,14,3,21,19",0.024602165646366768,2.0521404389843863,0.001000378069825605,1.0,1.0,traj_lr1.600000e-03_wd1.9311_seed42.npz,565.2219269275665
add,53,0.0016,1.9311,7,5,Grokking,500.0,14500.0,28500.0,9000.0,15500.0,10500.0,6500.0,1500.0,5500.0,-1000.0,"16,11,10,25,9",0.13376452077039347,1.5406319783634055,0.0008472248259050327,1.0,1.0,traj_lr1.600000e-03_wd1.9311_seed7.npz,563.0312113761902
add,53,0.0016,1.9311,2025,5,Grokking,500.0,12500.0,23500.0,8000.0,18500.0,11000.0,10500.0,3000.0,4500.0,-6000.0,"24,14,5,3,22",0.09560714660695231,1.7313983313335404,0.0015433956803909182,1.0,1.0,traj_lr1.600000e-03_wd1.9311_seed2025.npz,563.9711236953735
add,53,0.0016,2.175,42,5,Grokking,500.0,15000.0,23500.0,9000.0,27000.0,13500.0,18000.0,4500.0,6000.0,-12000.0,"13,6,14,4,24",2.9463087505463372,2.0434425430141077,1.4477507703392258,1.0,1.0,traj_lr1.600000e-03_wd2.1750_seed42.npz,592.4115211963654
add,53,0.0016,2.175,7,5,Grokking,500.0,11000.0,14000.0,8000.0,11500.0,11000.0,3500.0,3000.0,3000.0,-500.0,"18,14,3,10,1",0.10318386447707673,1.72176208355188,0.0015334764030050605,1.0,1.0,traj_lr1.600000e-03_wd2.1750_seed7.npz,651.0443663597107
add,53,0.0016,2.175,2025,5,Grokking,500.0,8500.0,23500.0,8000.0,8500.0,9000.0,500.0,1000.0,500.0,0.0,"24,5,25,15,3",0.18057524098978325,1.9449665728754548,0.008140106641443413,1.0,1.0,traj_lr1.600000e-03_wd2.1750_seed2025.npz,542.8213491439819
add,53,0.0016,2.4497,42,5,Grokking,500.0,11000.0,21500.0,8000.0,21500.0,9500.0,13500.0,1500.0,3000.0,-10500.0,"13,6,3,12,19",0.4099055830772611,1.0161534130378007,0.0020331956688973826,1.0,1.0,traj_lr1.600000e-03_wd2.4497_seed42.npz,551.9557933807373
add,53,0.0016,2.4497,7,5,Grokking,500.0,12000.0,16000.0,10500.0,14000.0,11000.0,3500.0,500.0,1500.0,-2000.0,"16,18,14,1,9",0.26836710356601007,1.516794790099371,0.0029088859934100187,1.0,1.0,traj_lr1.600000e-03_wd2.4497_seed7.npz,581.2250647544861
