cell_label,category,lr,wd,seed,observed_phase,tau_gen,null_interval,ema_alpha,slope_thresh,tau_F,delta,ordering
wd1.71_s7,strong_GF,0.0016,1.7145,7,Grokking,17000.0,500,1.0,0.005,21500.0,4500.0,G<F
wd1.71_s7,strong_GF,0.0016,1.7145,7,Grokking,17000.0,500,1.0,0.01,21500.0,4500.0,G<F
wd1.71_s7,strong_GF,0.0016,1.7145,7,Grokking,17000.0,500,1.0,0.02,21500.0,4500.0,G<F
wd1.71_s7,strong_GF,0.0016,1.7145,7,Grokking,17000.0,500,0.3,0.005,22500.0,5500.0,G<F
wd1.71_s7,strong_GF,0.0016,1.7145,7,Grokking,17000.0,500,0.3,0.01,22500.0,5500.0,G<F
wd1.71_s7,strong_GF,0.0016,1.7145,7,Grokking,17000.0,500,0.3,0.02,22500.0,5500.0,G<F
wd1.71_s7,strong_GF,0.0016,1.7145,7,Grokking,17000.0,500,0.15,0.005,24000.0,7000.0,G<F
wd1.71_s7,strong_GF,0.0016,1.7145,7,Grokking,17000.0,500,0.15,0.01,24000.0,7000.0,G<F
wd1.71_s7,strong_GF,0.0016,1.7145,7,Grokking,17000.0,500,0.15,0.02,24000.0,7000.0,G<F
wd1.71_s7,strong_GF,0.0016,1.7145,7,Grokking,17000.0,500,0.05,0.005,26500.0,9500.0,G<F
wd1.71_s7,strong_GF,0.0016,1.7145,7,Grokking,17000.0,500,0.05,0.01,26500.0,9500.0,G<F
wd1.71_s7,strong_GF,0.0016,1.7145,7,Grokking,17000.0,500,0.05,0.02,26500.0,9500.0,G<F
wd1.71_s7,strong_GF,0.0016,1.7145,7,Grokking,17000.0,2500,1.0,0.005,21000.0,4000.0,G<F
wd1.71_s7,strong_GF,0.0016,1.7145,7,Grokking,17000.0,2500,1.0,0.01,21000.0,4000.0,G<F
wd1.71_s7,strong_GF,0.0016,1.7145,7,Grokking,17000.0,2500,1.0,0.02,21000.0,4000.0,G<F
