lr,wd,seed,observed_phase,tau_gen,tau_F,delta,ordering,max_train_acc,max_test_acc,extended,steps_used,runtime_sec
0.0005,2.5,42,Grokking,52000.0,54000.0,2000.0,G<F,1.0000,1.0000,True,80000,865.2
0.0005,2.5,7,Grokking,54500.0,57000.0,2500.0,G<F,1.0000,1.0000,True,80000,862.7
0.0005,2.5,2025,Grokking,39500.0,42000.0,2500.0,G<F,1.0000,1.0000,False,50000,544.3
0.0006804,2.5,42,Grokking,34500.0,38500.0,4000.0,G<F,1.0000,1.0000,False,50000,544.2
0.0006804,2.5,7,Grokking,43500.0,42000.0,-1500.0,F<G,1.0000,1.0000,False,50000,549.7
0.0006804,2.5,2025,Grokking,30000.0,39500.0,9500.0,G<F,1.0000,1.0000,False,50000,548.5
0.0009259,2.5,42,Grokking,21500.0,29000.0,7500.0,G<F,1.0000,1.0000,False,50000,550.0
0.0009259,2.5,7,Grokking,26000.0,28000.0,2000.0,G<F,1.0000,1.0000,False,50000,548.0
0.0009259,2.5,2025,Grokking,21500.0,38500.0,17000.0,G<F,1.0000,1.0000,False,50000,548.0
0.0012599,2.5,42,Grokking,21000.0,33000.0,12000.0,G<F,1.0000,1.0000,False,50000,514.7
0.0012599,2.5,7,Grokking,18500.0,21000.0,2500.0,G<F,1.0000,1.0000,False,50000,533.0
0.0012599,2.5,2025,Grokking,14500.0,24000.0,9500.0,G<F,1.0000,1.0000,False,50000,506.9
0.0017145,2.5,42,Grokking,12000.0,18000.0,6000.0,G<F,1.0000,1.0000,False,50000,504.5
0.0017145,2.5,7,Grokking,11500.0,15500.0,4000.0,G<F,1.0000,1.0000,False,50000,506.3
0.0017145,2.5,2025,Grokking,7000.0,16500.0,9500.0,G<F,1.0000,1.0000,False,50000,478.6
0.0023331,2.5,42,Grokking,12000.0,22000.0,10000.0,G<F,1.0000,1.0000,False,50000,470.7
0.0023331,2.5,7,Grokking,8000.0,12000.0,4000.0,G<F,1.0000,1.0000,False,50000,538.1
0.0023331,2.5,2025,Grokking,8000.0,9000.0,1000.0,G<F,1.0000,1.0000,False,50000,602.9
0.0031748,2.5,42,Grokking,15500.0,21500.0,6000.0,G<F,1.0000,1.0000,False,50000,528.7
0.0031748,2.5,7,Grokking,18000.0,21000.0,3000.0,G<F,1.0000,1.0000,False,50000,569.1
0.0031748,2.5,2025,Grokking,6000.0,15500.0,9500.0,G<F,1.0000,1.0000,False,50000,563.1
0.0043202,2.5,42,Grokking,67500.0,13000.0,-54500.0,F<G,1.0000,0.9649,True,80000,879.5
0.0043202,2.5,7,Grokking,10000.0,17500.0,7500.0,G<F,1.0000,1.0000,False,50000,533.4
0.0043202,2.5,2025,Grokking,3000.0,14000.0,11000.0,G<F,1.0000,1.0000,False,50000,518.8
0.0058789,2.5,42,Memorization,,28000.0,,F_only,1.0000,0.0188,True,80000,759.3
0.0058789,2.5,7,Memorization,,14000.0,,F_only,1.0000,0.0219,True,80000,755.3
0.0058789,2.5,2025,Grokking,11500.0,14000.0,2500.0,G<F,1.0000,0.9990,False,50000,473.4
0.008,2.5,42,Memorization,,21000.0,,F_only,1.0000,0.0188,True,80000,753.2
0.008,2.5,7,Memorization,,20000.0,,F_only,1.0000,0.0219,True,80000,748.3
0.008,2.5,2025,Memorization,,13000.0,,F_only,1.0000,0.0183,True,80000,747.3
