lr,wd,seed,observed_phase,tau_gen,tau_F,delta,ordering,max_train_acc,max_test_acc,extended,steps_used,runtime_sec
0.0005,2.5,42,Memorization,,,,none,1.0000,0.0188,True,1000,13.0
0.0006804,2.5,42,Memorization,,,,none,1.0000,0.0188,True,1000,11.7
0.0009259,2.5,42,Memorization,,,,none,1.0000,0.0188,True,1000,11.3
0.0012599,2.5,42,Memorization,,,,none,1.0000,0.0188,True,1000,10.9
0.0017145,2.5,42,Memorization,,,,none,1.0000,0.0188,True,1000,10.9
0.0023331,2.5,42,Memorization,,,,none,1.0000,0.0188,True,1000,10.9
0.0031748,2.5,42,Memorization,,,,none,1.0000,0.0188,True,1000,11.0
0.0043202,2.5,42,Memorization,,,,none,1.0000,0.0188,True,1000,11.0
0.0058789,2.5,42,Memorization,,,,none,1.0000,0.0188,True,1000,11.0
0.008,2.5,42,Memorization,,,,none,1.0000,0.0188,True,1000,10.9
