operation,prime,lr,wd,seed,observed_phase,tau_gen,tau_F,delta,ordering,max_train_acc,max_test_acc,runtime_sec
mul,53,0.0016,2.175,42,Grokking,8500.0,15500.0,7000.0,G<F,1.0,1.0,957.7062876224518
mul,53,0.0016,1.2,42,Grokking,20500.0,30000.0,9500.0,G<F,1.0,0.997966468334198,638.0133211612701
mul,53,0.0016,1.2,7,Grokking,23500.0,30500.0,7000.0,G<F,1.0,1.0,659.8220810890198
mul,53,0.0016,1.2,2025,Grokking,35500.0,42000.0,6500.0,G<F,1.0,0.9994916319847107,673.5689623355865
mul,53,0.0016,1.3516,42,Grokking,14000.0,25500.0,11500.0,G<F,1.0,0.9994916319847107,549.5025479793549
mul,53,0.0016,1.3516,7,Grokking,21000.0,27000.0,6000.0,G<F,1.0,1.0,548.2917222976685
mul,53,0.0016,1.3516,2025,Grokking,29500.0,34000.0,4500.0,G<F,1.0,1.0,544.9421105384827
mul,53,0.0016,1.5223,42,Grokking,22500.0,38000.0,15500.0,G<F,1.0,1.0,559.4615049362183
mul,53,0.0016,1.5223,7,Grokking,14000.0,25000.0,11000.0,G<F,1.0,1.0,643.9439942836761
mul,53,0.0016,1.5223,2025,Grokking,16500.0,31500.0,15000.0,G<F,1.0,1.0,584.2865734100342
mul,53,0.0016,1.7145,42,Grokking,13500.0,37500.0,24000.0,G<F,1.0,1.0,587.9418232440948
mul,53,0.0016,1.7145,7,Grokking,7500.0,19500.0,12000.0,G<F,1.0,1.0,672.9773669242859
mul,53,0.0016,1.7145,2025,Grokking,18000.0,34500.0,16500.0,G<F,1.0,1.0,724.0071263313293
mul,53,0.0016,1.9311,42,Grokking,17500.0,23500.0,6000.0,G<F,1.0,1.0,654.5963954925537
mul,53,0.0016,1.9311,7,Grokking,16500.0,25000.0,8500.0,G<F,1.0,1.0,597.3810584545135
mul,53,0.0016,1.9311,2025,Grokking,20000.0,35000.0,15000.0,G<F,1.0,1.0,557.3191773891449
mul,53,0.0016,2.175,7,Grokking,10500.0,16000.0,5500.0,G<F,1.0,1.0,548.3068344593048
mul,53,0.0016,2.175,2025,Grokking,20000.0,35000.0,15000.0,G<F,1.0,1.0,597.6234736442566
mul,53,0.0016,2.4497,42,Grokking,8500.0,14000.0,5500.0,G<F,1.0,1.0,670.1010310649872
mul,53,0.0016,2.4497,7,Grokking,8500.0,16000.0,7500.0,G<F,1.0,1.0,617.7310893535614
mul,53,0.0016,2.4497,2025,Grokking,22500.0,33000.0,10500.0,G<F,1.0,1.0,675.9105212688446
mul,53,0.0016,2.7591,42,Grokking,12000.0,17500.0,5500.0,G<F,1.0,1.0,659.1498374938965
mul,53,0.0016,2.7591,7,Grokking,9000.0,14000.0,5000.0,G<F,1.0,1.0,619.6220512390137
mul,53,0.0016,2.7591,2025,Grokking,21000.0,26500.0,5500.0,G<F,1.0,1.0,644.2847814559937
mul,53,0.0016,3.1075,42,Grokking,16000.0,25000.0,9000.0,G<F,1.0,1.0,563.214209318161
mul,53,0.0016,3.1075,7,Grokking,11000.0,14500.0,3500.0,G<F,1.0,1.0,668.3981173038483
mul,53,0.0016,3.1075,2025,Grokking,12500.0,25500.0,13000.0,G<F,1.0,1.0,672.2476370334625
mul,53,0.0016,3.5,42,Grokking,14000.0,23500.0,9500.0,G<F,1.0,1.0,568.9350256919861
mul,53,0.0016,3.5,7,Grokking,12000.0,23500.0,11500.0,G<F,1.0,1.0,557.801032781601
mul,53,0.0016,3.5,2025,Grokking,18000.0,24500.0,6500.0,G<F,1.0,1.0,584.5673732757568
