operation,prime,lr,wd,seed,observed_phase,tau_gen,tau_F,delta,ordering,max_train_acc,max_test_acc,runtime_sec
add,97,0.0016,1.2,42,Grokking,4500.0,22500.0,18000.0,G<F,1.0,1.0,2469.59947347641
add,97,0.0016,1.2,7,Grokking,4000.0,41500.0,37500.0,G<F,1.0,1.0,2146.5426139831543
add,97,0.0016,1.2,2025,Grokking,4500.0,46500.0,42000.0,G<F,1.0,1.0,2143.997094154358
add,97,0.0016,1.3516,42,Grokking,4000.0,29500.0,25500.0,G<F,1.0,1.0,2707.6460180282593
add,97,0.0016,1.3516,7,Grokking,3500.0,32000.0,28500.0,G<F,1.0,1.0,2765.0405328273773
add,97,0.0016,1.5223,42,Grokking,3500.0,33000.0,29500.0,G<F,1.0,1.0,2361.5027265548706
add,97,0.0016,1.5223,2025,Grokking,3500.0,26000.0,22500.0,G<F,1.0,1.0,2370.198740005493
add,97,0.0016,1.3516,2025,Grokking,4500.0,23000.0,18500.0,G<F,1.0,1.0,2371.9380490779877
add,97,0.0016,1.5223,7,Grokking,3000.0,22500.0,19500.0,G<F,1.0,1.0,2374.1359074115753
add,97,0.0016,1.9311,42,Grokking,4500.0,43000.0,38500.0,G<F,1.0,1.0,2231.1572613716125
add,97,0.0016,1.7145,42,Grokking,3000.0,18000.0,15000.0,G<F,1.0,1.0,2279.48224234581
add,97,0.0016,1.7145,2025,Grokking,3500.0,38000.0,34500.0,G<F,1.0,1.0,2294.6862778663635
add,97,0.0016,1.7145,7,Grokking,3000.0,44500.0,41500.0,G<F,1.0,1.0,2306.7027282714844
add,97,0.0016,1.9311,7,Grokking,2500.0,41000.0,38500.0,G<F,1.0,1.0,2139.0317726135254
add,97,0.0016,1.9311,2025,Grokking,3000.0,31000.0,28000.0,G<F,1.0,1.0,2184.3537731170654
add,97,0.0016,2.175,42,Grokking,2500.0,30500.0,28000.0,G<F,1.0,1.0,2184.0408465862274
add,97,0.0016,2.175,7,Grokking,2500.0,37000.0,34500.0,G<F,1.0,1.0,2189.8486502170563
add,97,0.0016,2.175,2025,Grokking,2500.0,34000.0,31500.0,G<F,1.0,1.0,2120.674926519394
add,97,0.0016,2.4497,42,Grokking,2500.0,30500.0,28000.0,G<F,1.0,1.0,2129.755053281784
add,97,0.0016,2.4497,7,Comprehension,2000.0,30000.0,28000.0,G<F,1.0,1.0,2121.1148574352264
add,97,0.0016,2.4497,2025,Grokking,2500.0,29500.0,27000.0,G<F,1.0,1.0,2117.8412551879883
add,97,0.0016,2.7591,42,Comprehension,2000.0,30500.0,28500.0,G<F,1.0,1.0,2136.559685945511
add,97,0.0016,2.7591,7,Comprehension,2000.0,31500.0,29500.0,G<F,1.0,1.0,2133.1717250347137
add,97,0.0016,2.7591,2025,Comprehension,2000.0,36000.0,34000.0,G<F,1.0,1.0,2131.9258880615234
add,97,0.0016,3.1075,42,Comprehension,2000.0,30500.0,28500.0,G<F,1.0,1.0,2134.005133152008
add,97,0.0016,3.1075,7,Comprehension,2000.0,28000.0,26000.0,G<F,1.0,1.0,2150.749946832657
add,97,0.0016,3.1075,2025,Comprehension,2000.0,28000.0,26000.0,G<F,1.0,1.0,2161.9300282001495
add,97,0.0016,3.5,7,Comprehension,2000.0,26000.0,24000.0,G<F,1.0,1.0,2137.0801565647125
add,97,0.0016,3.5,42,Comprehension,2000.0,25000.0,23000.0,G<F,1.0,1.0,2163.3705163002014
add,97,0.0016,3.5,2025,Grokking,3500.0,27500.0,24000.0,G<F,1.0,1.0,1994.712201833725
